body,triage
Reminder: The client meeting is scheduled at 10:00 tomorrow. Prepare your slides.,ignore
Your invoice of INR 25515.09 is due on 2025-12-12. Please pay to avoid late fees.,ignore
Reminder: The client meeting is scheduled at 11:30 tomorrow. Prepare your slides.,ignore
"Hello team, please find the attached weekly report and action items for the project.",ignore
"Hello team, please find the attached weekly report and action items for the project.",ignore
Your invoice of INR 38766.88 is due on 2025-12-14. Please pay to avoid late fees.,ignore
Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,ignore
Your order #6313 has been shipped and is expected to deliver by 2026-01-10.,ignore
"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",respond_or_act
Your invoice of INR 32944.21 is due on 2025-12-24. Please pay to avoid late fees.,ignore
Reminder: The client meeting is scheduled at 15:30 tomorrow. Prepare your slides.,ignore
Your order #3621 has been shipped and is expected to deliver by 2025-12-13.,ignore
"Hello team, please find the attached weekly report and action items for the project.",ignore
Reminder: The client meeting is scheduled at 10:30 tomorrow. Prepare your slides.,ignore
Please complete the mandatory training module before the deadline.,ignore
"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",ignore
Reminder: The client meeting is scheduled at 10:00 tomorrow. Prepare your slides.,ignore
"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",ignore
Please complete the mandatory training module before the deadline.,ignore
Please complete the mandatory training module before the deadline.,ignore
Notice: Your account will be locked unless verification is completed.,ignore
Please complete the mandatory training module before the deadline.,ignore
Your order #2545 has been shipped and is expected to deliver by 2025-12-27.,ignore
Security alert: multiple failed login attempts were recorded on your account.,ignore
Your invoice of INR 9983.71 is due on 2025-12-29. Please pay to avoid late fees.,ignore
"Hello team, please find the attached weekly report and action items for the project.",ignore
"Hello team, please find the attached weekly report and action items for the project.",ignore
"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",respond_or_act
"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",ignore
Please complete the mandatory training module before the deadline.,ignore
Notice: Your account will be locked unless verification is completed.,ignore
Notice: Your account will be locked unless verification is completed.,ignore
Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,ignore
Your order #9808 has been shipped and is expected to deliver by 2025-12-30.,ignore
