email_text,expected_action,expected_tone,prediction,predicted_action,predicted_tone,action_correct,tone_correct
Reminder: Team meeting scheduled tomorrow at 10 AM in Conference Room B.,notify,neutral,"('notify', 'neutral')",notify,neutral,True,True
Please find attached the invoice for last month's services. Kindly process the payment at the earliest.,respond,polite,"('respond', 'polite')",respond,polite,True,True
Congratulations! You have been selected for the summer internship program.,notify,polite,"('ignore', 'neutral')",ignore,neutral,False,False
Your subscription has been successfully renewed.,ignore,neutral,"('ignore', 'neutral')",ignore,neutral,True,True
URGENT: Payment deadline missed. Immediate action required.,respond,urgent,"('respond', 'urgent')",respond,urgent,True,True
Thank you for your feedback on our product. We appreciate your insights.,respond,polite,"('ignore', 'neutral')",ignore,neutral,False,False
We regret to inform you that your application has not been successful.,notify,formal,"('ignore', 'neutral')",ignore,neutral,False,False
Happy Birthday! Wishing you a wonderful year ahead.,notify,cheerful,"('ignore', 'neutral')",ignore,neutral,False,False
Please review the attached document and provide your comments by end of day.,respond,formal,"('ignore', 'neutral')",ignore,neutral,False,False
System maintenance scheduled for this weekend. Expect downtime from 2 AM to 4 AM.,notify,neutral,"('ignore', 'neutral')",ignore,neutral,False,True
Your order has been shipped and is expected to arrive within 3-5 business days.,notify,neutral,"('ignore', 'neutral')",ignore,neutral,False,True
Action required: Update your account information to avoid service interruption.,respond,urgent,"('ignore', 'neutral')",ignore,neutral,False,False
Welcome to our community! We're excited to have you on board.,notify,cheerful,"('ignore', 'neutral')",ignore,neutral,False,False
Apologies for the inconvenience caused. We are working to resolve the issue.,respond,apologetic,"('ignore', 'neutral')",ignore,neutral,False,False
Don't miss out on our exclusive sale! Up to 50% off on selected items.,notify,excited,"('ignore', 'neutral')",ignore,neutral,False,False
Please confirm your attendance for the upcoming workshop by Friday.,respond,formal,"('ignore', 'neutral')",ignore,neutral,False,False
Your password has been successfully changed.,ignore,neutral,"('ignore', 'neutral')",ignore,neutral,True,True
Important: Changes to our privacy policy effective from next month.,notify,formal,"('ignore', 'neutral')",ignore,neutral,False,False
