email_text,expected_action,expected_tone,clean_email,predicted_action,predicted_tone,action_correct,tone_correct
Reminder: Project review meeting scheduled tomorrow at 11 AM.,notify,neutral,reminder project review meeting scheduled tomorrow at 11 am,respond,neutral,False,True
Please find attached the invoice for your August subscription. Payment due by Sept 5.,respond,urgent,please find attached the invoice for your august subscription payment due by sept 5,respond,neutral,True,False
Thank you for registering for our webinar. No further action is required.,ignore,polite,thank you for registering for our webinar no further action is required,ignore,polite,True,True
Can you please share the updated design document by today?,respond,urgent,can you please share the updated design document by today,respond,neutral,True,False
This is to inform you that the office will remain closed on Friday.,notify,neutral,this is to inform you that the office will remain closed on friday,respond,neutral,False,True
Your OTP for account login is 482913. Do not share it with anyone.,notify,urgent,your otp for account login is 482913 do not share it with anyone,respond,neutral,False,False
We noticed unusual activity on your account. Please confirm if this was you.,respond,urgent,we noticed unusual activity on your account please confirm if this was you,respond,neutral,True,False
Monthly newsletter: Top tech trends you should know.,ignore,neutral,monthly newsletter top tech trends you should know,respond,neutral,False,True
Your interview has been scheduled for Monday at 10 AM. Please confirm.,respond,neutral,your interview has been scheduled for monday at 10 am please confirm,respond,neutral,True,True
Reminder: Assignment submission deadline is tomorrow.,notify,urgent,reminder assignment submission deadline is tomorrow,notify,urgent,True,True
Thank you for your payment. This email is for confirmation only.,ignore,polite,thank you for your payment this email is for confirmation only,ignore,polite,True,True
Please review the attached contract and share your approval.,respond,neutral,please review the attached contract and share your approval,respond,neutral,True,True
Team lunch planned this Friday at 1 PM.,notify,polite,team lunch planned this friday at 1 pm,respond,neutral,False,False
Your password was changed successfully.,notify,neutral,your password was changed successfully,respond,neutral,False,True
Limited-time offer! Get 50% off on premium plans.,ignore,neutral,limitedtime offer get 50 off on premium plans,respond,neutral,False,True
Can we reschedule our meeting to Thursday afternoon?,respond,polite,can we reschedule our meeting to thursday afternoon,respond,neutral,True,False
This email is to acknowledge receipt of your application.,ignore,neutral,this email is to acknowledge receipt of your application,respond,neutral,False,True
