id,email_text,expected_action,expected_tone
1,You are receiving this email as part of our regular information bulletin.,ignore,neutral
2,"Dear Meera, just a quick reminder that we have a meeting regarding budget planning on 03 Jan 2024 at 16:00.",respond,polite
3,This is our monthly newsletter highlighting recent updates and announcements.,ignore,neutral
4,"Hello Meera, this is to inform you that your academic submission for Data Science has been reviewed.",notify,polite
5,"Hello Meera, this is a follow-up regarding the pending invoice #4632. Please clear the dues by 06 Jan 2024.",respond,urgent
6,"Hello Alex, this is to inform you that your academic submission for AI Fundamentals has been reviewed.",notify,polite
7,"Hi Ananya, this is a reminder about our project progress meeting scheduled on 08 Jan 2024 at 16:30. Please confirm your availability.",respond,polite
8,"Hi Kiran, this is a reminder about our project progress meeting scheduled on 09 Jan 2024 at 9:30. Please confirm your availability.",respond,polite
9,"Hi Pranaya, you have been shortlisted for the ML Engineer internship. Please wait for the official communication.",notify,polite
10,Here are the latest updates from our organization. No action is required.,ignore,neutral
11,"Hello, I would like to know more about your services, specifically related to course registration. Please share details.",respond,neutral
12,"Hello Meera, reminding you about the upcoming meeting on 13 Jan 2024 at 17:30 to discuss budget planning.",respond,polite
13,"Good day, I have a query regarding project progress. Kindly clarify at your convenience.",respond,neutral
14,"Dear Sam, your application for the ML Engineer internship has moved to the next stage. Further details will be shared soon.",notify,polite
15,"Good day, I have a query regarding budget planning. Kindly clarify at your convenience.",respond,neutral
16,"Dear Rohit, our records indicate that invoice #7460 dated 17 Jan 2024 is still unpaid. Kindly arrange payment at the earliest.",respond,urgent
17,"Good day, I have a query regarding course registration. Kindly clarify at your convenience.",respond,neutral
18,"Dear Ananya, our records indicate that invoice #7276 dated 19 Jan 2024 is still unpaid. Kindly arrange payment at the earliest.",respond,urgent
19,"Hello, I would like to know more about your services, specifically related to research review. Please share details.",respond,neutral
20,"Hi Sam, this is a reminder about our project progress meeting scheduled on 21 Jan 2024 at 16:00. Please confirm your availability.",respond,polite
21,"Hi Aditi, this is a reminder about our budget planning meeting scheduled on 22 Jan 2024 at 10:00. Please confirm your availability.",respond,polite
22,"Hello Ananya, reminding you about the upcoming meeting on 23 Jan 2024 at 15:00 to discuss research review.",respond,polite
23,"Hello Rohit, reminding you about the upcoming meeting on 24 Jan 2024 at 12:00 to discuss research review.",respond,polite
24,"Hi Alex, this is a reminder about our research review meeting scheduled on 25 Jan 2024 at 9:30. Please confirm your availability.",respond,polite
25,"Dear Rohit, your application for the Data Analyst internship has moved to the next stage. Further details will be shared soon.",notify,polite
26,"Hi Aditi, you have been shortlisted for the Software Intern internship. Please wait for the official communication.",notify,polite
27,"Dear Sam, just a quick reminder that we have a meeting regarding budget planning on 28 Jan 2024 at 16:30.",respond,polite
28,"Dear Alex, your application for the Software Intern internship has moved to the next stage. Further details will be shared soon.",notify,polite
29,"Hello Kiran, reminding you about the upcoming meeting on 30 Jan 2024 at 12:30 to discuss project progress.",respond,polite
30,"Hello Sam, this is to inform you that your academic submission for Operating Systems has been reviewed.",notify,polite
31,"Hello Meera, reminding you about the upcoming meeting on 01 Feb 2024 at 15:00 to discuss budget planning.",respond,polite
32,"Dear Rohit, our records indicate that invoice #9765 dated 02 Feb 2024 is still unpaid. Kindly arrange payment at the earliest.",respond,urgent
33,"Dear Ananya, your application for the ML Engineer internship has moved to the next stage. Further details will be shared soon.",notify,polite
34,"Dear Aditi, your application for the ML Engineer internship has moved to the next stage. Further details will be shared soon.",notify,polite
35,"Dear Aditi, our records indicate that invoice #1693 dated 05 Feb 2024 is still unpaid. Kindly arrange payment at the earliest.",respond,urgent
36,"Dear Aditi, our records indicate that invoice #3050 dated 06 Feb 2024 is still unpaid. Kindly arrange payment at the earliest.",respond,urgent
37,"Hi team, could you provide information about course registration? I am evaluating available options.",respond,neutral
38,"Dear Sam, our records indicate that invoice #4763 dated 08 Feb 2024 is still unpaid. Kindly arrange payment at the earliest.",respond,urgent
39,"Hi Sam, you have been shortlisted for the Software Intern internship. Please wait for the official communication.",notify,polite
40,"Hi Rohit, payment for invoice #4002 has not yet been received. Immediate attention is requested.",respond,urgent
41,"Hi Alex, you have been shortlisted for the Software Intern internship. Please wait for the official communication.",notify,polite
42,"Dear Ananya, your application for the Software Intern internship has moved to the next stage. Further details will be shared soon.",notify,polite
43,"Hello Rohit, this is a follow-up regarding the pending invoice #8632. Please clear the dues by 13 Feb 2024.",respond,urgent
44,"Hello Ananya, reminding you about the upcoming meeting on 14 Feb 2024 at 14:00 to discuss research review.",respond,polite
45,"Dear Ananya, your application for the Data Analyst internship has moved to the next stage. Further details will be shared soon.",notify,polite
46,"Hello, I would like to know more about your services, specifically related to project progress. Please share details.",respond,neutral
47,"Dear Rohit, your application for the ML Engineer internship has moved to the next stage. Further details will be shared soon.",notify,polite
48,"Hi Ananya, this is a reminder about our course registration meeting scheduled on 18 Feb 2024 at 16:30. Please confirm your availability.",respond,polite
49,"Dear Pranaya, our records indicate that invoice #6147 dated 19 Feb 2024 is still unpaid. Kindly arrange payment at the earliest.",respond,urgent
50,"Hi Rohit, you have been shortlisted for the Software Intern internship. Please wait for the official communication.",notify,polite
51,"Dear Meera, just a quick reminder that we have a meeting regarding course registration on 21 Feb 2024 at 12:30.",respond,polite
52,"Hello Aditi, this is to inform you that your academic submission for Operating Systems has been reviewed.",notify,polite
53,"Hello Meera, this is to inform you that your academic submission for AI Fundamentals has been reviewed.",notify,polite
54,"Hi Pranaya, payment for invoice #9020 has not yet been received. Immediate attention is requested.",respond,urgent
55,"Hello Ananya, this is a follow-up regarding the pending invoice #7113. Please clear the dues by 25 Feb 2024.",respond,urgent
56,"Dear Pranaya, your application for the Software Intern internship has moved to the next stage. Further details will be shared soon.",notify,polite
57,"Dear Sam, just a quick reminder that we have a meeting regarding course registration on 27 Feb 2024 at 12:00.",respond,polite
58,"Hi Meera, payment for invoice #2968 has not yet been received. Immediate attention is requested.",respond,urgent
59,"Hello Sam, this is to inform you that your academic submission for AI Fundamentals has been reviewed.",notify,polite
60,"Hello Sam, this is a follow-up regarding the pending invoice #5969. Please clear the dues by 01 Mar 2024.",respond,urgent
61,"Hi Rohit, this is a reminder about our project progress meeting scheduled on 02 Mar 2024 at 14:00. Please confirm your availability.",respond,polite
62,"Dear Meera, your application for the Software Intern internship has moved to the next stage. Further details will be shared soon.",notify,polite
63,"Hello Aditi, this is to inform you that your academic submission for Data Science has been reviewed.",notify,polite
64,"Dear Aditi, our records indicate that invoice #1852 dated 05 Mar 2024 is still unpaid. Kindly arrange payment at the earliest.",respond,urgent
65,"Hi Meera, payment for invoice #1593 has not yet been received. Immediate attention is requested.",respond,urgent
66,"Hi Alex, this is a reminder about our course registration meeting scheduled on 07 Mar 2024 at 13:30. Please confirm your availability.",respond,polite
67,"Good day, I have a query regarding product pricing. Kindly clarify at your convenience.",respond,neutral
68,"Hi Kiran, payment for invoice #9607 has not yet been received. Immediate attention is requested.",respond,urgent
69,"Hi Meera, this is a reminder about our project progress meeting scheduled on 10 Mar 2024 at 10:30. Please confirm your availability.",respond,polite
70,"Hi Pranaya, you have been shortlisted for the Software Intern internship. Please wait for the official communication.",notify,polite
71,"Dear Sam, just a quick reminder that we have a meeting regarding research review on 12 Mar 2024 at 15:30.",respond,polite
72,"Hello Aditi, this is a follow-up regarding the pending invoice #6391. Please clear the dues by 13 Mar 2024.",respond,urgent
73,"Hello Meera, this is a follow-up regarding the pending invoice #5736. Please clear the dues by 14 Mar 2024.",respond,urgent
74,"Hello, I would like to know more about your services, specifically related to product pricing. Please share details.",respond,neutral
75,"Hello Pranaya, this is to inform you that your academic submission for Operating Systems has been reviewed.",notify,polite
76,"Hi Meera, you have been shortlisted for the Data Analyst internship. Please wait for the official communication.",notify,polite
