id,sender,subject,body,priority,triage_label,clean_subject,clean_body,clean_text,triage_output
1,alerts@bank.com,Password Reset Request,Reminder: The client meeting is scheduled at 10:00 tomorrow. Prepare your slides.,low,notify_human,password reset request,reminder the client meeting is scheduled at 10 00 tomorrow prepare your slides,password reset request reminder the client meeting is scheduled at 10 00 tomorrow prepare your slides,respond_or_act
2,alerts@bank.com,Congratulations! You've Won,Your invoice of INR 25515.09 is due on 2025-12-12. Please pay to avoid late fees.,low,respond,congratulations you ve won,your invoice of inr 25515 09 is due on 2025 12 12 please pay to avoid late fees,congratulations you ve won your invoice of inr 25515 09 is due on 2025 12 12 please pay to avoid late fees,respond_or_act
3,no-reply@service.com,Promotion: Big Sale,Reminder: The client meeting is scheduled at 11:30 tomorrow. Prepare your slides.,low,ignore,promotion big sale,reminder the client meeting is scheduled at 11 30 tomorrow prepare your slides,promotion big sale reminder the client meeting is scheduled at 11 30 tomorrow prepare your slides,ignore
4,sales@shop.com,Monthly Report,"Hello team, please find the attached weekly report and action items for the project.",medium,respond,monthly report,hello team please find the attached weekly report and action items for the project,monthly report hello team please find the attached weekly report and action items for the project,notify_human
5,no-reply@service.com,Survey,"Hello team, please find the attached weekly report and action items for the project.",low,respond,survey,hello team please find the attached weekly report and action items for the project,survey hello team please find the attached weekly report and action items for the project,notify_human
6,alerts@bank.com,Unusual Login Attempt,Your invoice of INR 38766.88 is due on 2025-12-14. Please pay to avoid late fees.,low,notify_human,unusual login attempt,your invoice of inr 38766 88 is due on 2025 12 14 please pay to avoid late fees,unusual login attempt your invoice of inr 38766 88 is due on 2025 12 14 please pay to avoid late fees,respond_or_act
7,hr@company.com,Project Update,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,ignore,project update,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,project update congratulations you have been selected as a lucky winner claim your prize now by clicking the link,ignore
8,sales@shop.com,Project Update,Your order #6313 has been shipped and is expected to deliver by 2026-01-10.,medium,respond,project update,your order 6313 has been shipped and is expected to deliver by 2026 01 10,project update your order 6313 has been shipped and is expected to deliver by 2026 01 10,respond_or_act
9,security@bank.com,Account Suspended,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",high,notify_human,account suspended,dear user we detected a login from a new device if this wasn t you reset your password immediately,account suspended dear user we detected a login from a new device if this wasn t you reset your password immediately,notify_human
10,boss@company.com,Monthly Report,Your invoice of INR 32944.21 is due on 2025-12-24. Please pay to avoid late fees.,low,respond,monthly report,your invoice of inr 32944 21 is due on 2025 12 24 please pay to avoid late fees,monthly report your invoice of inr 32944 21 is due on 2025 12 24 please pay to avoid late fees,respond_or_act
11,support@cloud.com,Survey,Reminder: The client meeting is scheduled at 15:30 tomorrow. Prepare your slides.,high,respond,survey,reminder the client meeting is scheduled at 15 30 tomorrow prepare your slides,survey reminder the client meeting is scheduled at 15 30 tomorrow prepare your slides,notify_human
12,news@techblog.com,Policy Update,Your order #3621 has been shipped and is expected to deliver by 2025-12-13.,medium,respond,policy update,your order 3621 has been shipped and is expected to deliver by 2025 12 13,policy update your order 3621 has been shipped and is expected to deliver by 2025 12 13,respond_or_act
13,teamlead@company.com,Subscription Renewal,"Hello team, please find the attached weekly report and action items for the project.",medium,respond,subscription renewal,hello team please find the attached weekly report and action items for the project,subscription renewal hello team please find the attached weekly report and action items for the project,notify_human
14,alerts@bank.com,Survey,Reminder: The client meeting is scheduled at 10:30 tomorrow. Prepare your slides.,low,respond,survey,reminder the client meeting is scheduled at 10 30 tomorrow prepare your slides,survey reminder the client meeting is scheduled at 10 30 tomorrow prepare your slides,notify_human
15,security@bank.com,Security Alert,Please complete the mandatory training module before the deadline.,medium,notify_human,security alert,please complete the mandatory training module before the deadline,security alert please complete the mandatory training module before the deadline,notify_human
16,news@techblog.com,Payment Overdue,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,notify_human,payment overdue,hi don t miss our sale with discounts up to 70 on selected items click to know more,payment overdue hi don t miss our sale with discounts up to 70 on selected items click to know more,ignore
17,alerts@bank.com,Payment Overdue,Reminder: The client meeting is scheduled at 10:00 tomorrow. Prepare your slides.,medium,notify_human,payment overdue,reminder the client meeting is scheduled at 10 00 tomorrow prepare your slides,payment overdue reminder the client meeting is scheduled at 10 00 tomorrow prepare your slides,notify_human
18,support@cloud.com,Meeting Agenda,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",medium,ignore,meeting agenda,hi don t miss our sale with discounts up to 70 on selected items click to know more,meeting agenda hi don t miss our sale with discounts up to 70 on selected items click to know more,ignore
19,teamlead@company.com,Congratulations! You've Won,Please complete the mandatory training module before the deadline.,high,respond,congratulations you ve won,please complete the mandatory training module before the deadline,congratulations you ve won please complete the mandatory training module before the deadline,notify_human
20,hr@company.com,Welcome to Service,Please complete the mandatory training module before the deadline.,low,respond,welcome to service,please complete the mandatory training module before the deadline,welcome to service please complete the mandatory training module before the deadline,notify_human
21,support@cloud.com,Account Suspended,Notice: Your account will be locked unless verification is completed.,high,notify_human,account suspended,notice your account will be locked unless verification is completed,account suspended notice your account will be locked unless verification is completed,notify_human
22,hr@company.com,Weekly Newsletter,Please complete the mandatory training module before the deadline.,low,ignore,weekly newsletter,please complete the mandatory training module before the deadline,weekly newsletter please complete the mandatory training module before the deadline,notify_human
23,boss@company.com,Promotion: Big Sale,Your order #2545 has been shipped and is expected to deliver by 2025-12-27.,low,ignore,promotion big sale,your order 2545 has been shipped and is expected to deliver by 2025 12 27,promotion big sale your order 2545 has been shipped and is expected to deliver by 2025 12 27,ignore
24,teamlead@company.com,Payment Overdue,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,payment overdue,security alert multiple failed login attempts were recorded on your account,payment overdue security alert multiple failed login attempts were recorded on your account,notify_human
25,hr@company.com,Invoice Due,Your invoice of INR 9983.71 is due on 2025-12-29. Please pay to avoid late fees.,low,respond,invoice due,your invoice of inr 9983 71 is due on 2025 12 29 please pay to avoid late fees,invoice due your invoice of inr 9983 71 is due on 2025 12 29 please pay to avoid late fees,respond_or_act
26,no-reply@service.com,Account Suspended,"Hello team, please find the attached weekly report and action items for the project.",medium,notify_human,account suspended,hello team please find the attached weekly report and action items for the project,account suspended hello team please find the attached weekly report and action items for the project,notify_human
27,support@cloud.com,Password Reset Request,"Hello team, please find the attached weekly report and action items for the project.",low,notify_human,password reset request,hello team please find the attached weekly report and action items for the project,password reset request hello team please find the attached weekly report and action items for the project,respond_or_act
28,sales@shop.com,Event Invitation,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",low,notify_human,event invitation,dear user we detected a login from a new device if this wasn t you reset your password immediately,event invitation dear user we detected a login from a new device if this wasn t you reset your password immediately,notify_human
29,support@cloud.com,Action Required,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,ignore,action required,hi don t miss our sale with discounts up to 70 on selected items click to know more,action required hi don t miss our sale with discounts up to 70 on selected items click to know more,ignore
30,boss@company.com,Action Required,Please complete the mandatory training module before the deadline.,low,respond,action required,please complete the mandatory training module before the deadline,action required please complete the mandatory training module before the deadline,notify_human
31,news@techblog.com,Weekly Newsletter,Notice: Your account will be locked unless verification is completed.,high,notify_human,weekly newsletter,notice your account will be locked unless verification is completed,weekly newsletter notice your account will be locked unless verification is completed,notify_human
32,boss@company.com,Account Suspended,Notice: Your account will be locked unless verification is completed.,low,notify_human,account suspended,notice your account will be locked unless verification is completed,account suspended notice your account will be locked unless verification is completed,notify_human
33,orders@ecom.com,Congratulations! You've Won,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,ignore,congratulations you ve won,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,congratulations you ve won congratulations you have been selected as a lucky winner claim your prize now by clicking the link,ignore
34,alerts@bank.com,Password Reset Request,Your order #9808 has been shipped and is expected to deliver by 2025-12-30.,low,notify_human,password reset request,your order 9808 has been shipped and is expected to deliver by 2025 12 30,password reset request your order 9808 has been shipped and is expected to deliver by 2025 12 30,respond_or_act
35,orders@ecom.com,Meeting Agenda,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,ignore,meeting agenda,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,meeting agenda congratulations you have been selected as a lucky winner claim your prize now by clicking the link,ignore
36,support@cloud.com,Order Shipped,Notice: Your account will be locked unless verification is completed.,high,notify_human,order shipped,notice your account will be locked unless verification is completed,order shipped notice your account will be locked unless verification is completed,notify_human
37,alerts@bank.com,Meeting Agenda,Reminder: The client meeting is scheduled at 17:00 tomorrow. Prepare your slides.,low,respond,meeting agenda,reminder the client meeting is scheduled at 17 00 tomorrow prepare your slides,meeting agenda reminder the client meeting is scheduled at 17 00 tomorrow prepare your slides,notify_human
38,sales@shop.com,Monthly Report,Your invoice of INR 34531.11 is due on 2026-01-08. Please pay to avoid late fees.,high,respond,monthly report,your invoice of inr 34531 11 is due on 2026 01 08 please pay to avoid late fees,monthly report your invoice of inr 34531 11 is due on 2026 01 08 please pay to avoid late fees,respond_or_act
39,security@bank.com,Weekly Newsletter,Security alert: multiple failed login attempts were recorded on your account.,medium,notify_human,weekly newsletter,security alert multiple failed login attempts were recorded on your account,weekly newsletter security alert multiple failed login attempts were recorded on your account,notify_human
40,orders@ecom.com,Project Update,Your order #2832 has been shipped and is expected to deliver by 2025-12-25.,low,respond,project update,your order 2832 has been shipped and is expected to deliver by 2025 12 25,project update your order 2832 has been shipped and is expected to deliver by 2025 12 25,respond_or_act
41,news@techblog.com,Survey,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",low,notify_human,survey,dear user we detected a login from a new device if this wasn t you reset your password immediately,survey dear user we detected a login from a new device if this wasn t you reset your password immediately,notify_human
42,orders@ecom.com,Payment Overdue,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",medium,notify_human,payment overdue,dear user we detected a login from a new device if this wasn t you reset your password immediately,payment overdue dear user we detected a login from a new device if this wasn t you reset your password immediately,notify_human
