email,ai_action,final_action,hitl_status,tone
Reminder: The client meeting is scheduled at 10:00,notify,notify,AUTO_APPROVED,neutral
Your invoice of INR 25515.09 is due on 2025-12-12.,respond,respond,WAIT_FOR_HUMAN,polite
Reminder: The client meeting is scheduled at 11:30,notify,notify,AUTO_APPROVED,neutral
"Hello team, please find the attached weekly report",respond,respond,WAIT_FOR_HUMAN,polite
"Hello team, please find the attached weekly report",respond,respond,WAIT_FOR_HUMAN,polite
Your invoice of INR 38766.88 is due on 2025-12-14.,respond,respond,WAIT_FOR_HUMAN,polite
Congratulations! You have been selected as a lucky,review,review,AUTO_APPROVED,neutral
Your order #6313 has been shipped and is expected ,review,review,AUTO_APPROVED,neutral
"Dear user, we detected a login from a new device. ",notify,notify,AUTO_APPROVED,urgent
Your invoice of INR 32944.21 is due on 2025-12-24.,respond,respond,WAIT_FOR_HUMAN,polite
Reminder: The client meeting is scheduled at 15:30,notify,notify,AUTO_APPROVED,neutral
Your order #3621 has been shipped and is expected ,review,review,AUTO_APPROVED,neutral
"Hello team, please find the attached weekly report",respond,respond,WAIT_FOR_HUMAN,polite
Reminder: The client meeting is scheduled at 10:30,notify,notify,AUTO_APPROVED,neutral
Please complete the mandatory training module befo,notify,notify,AUTO_APPROVED,urgent
"Hi, don't miss our sale with discounts up to 70% o",review,review,AUTO_APPROVED,neutral
Reminder: The client meeting is scheduled at 10:00,notify,notify,AUTO_APPROVED,neutral
"Hi, don't miss our sale with discounts up to 70% o",review,review,AUTO_APPROVED,neutral
Please complete the mandatory training module befo,notify,notify,AUTO_APPROVED,urgent
Please complete the mandatory training module befo,notify,notify,AUTO_APPROVED,urgent
Notice: Your account will be locked unless verific,review,review,AUTO_APPROVED,neutral
Please complete the mandatory training module befo,notify,notify,AUTO_APPROVED,urgent
Your order #2545 has been shipped and is expected ,review,review,AUTO_APPROVED,neutral
Security alert: multiple failed login attempts wer,review,review,AUTO_APPROVED,neutral
Your invoice of INR 9983.71 is due on 2025-12-29. ,respond,respond,WAIT_FOR_HUMAN,polite
"Hello team, please find the attached weekly report",respond,respond,WAIT_FOR_HUMAN,polite
"Hello team, please find the attached weekly report",respond,respond,WAIT_FOR_HUMAN,polite
"Dear user, we detected a login from a new device. ",notify,notify,AUTO_APPROVED,urgent
"Hi, don't miss our sale with discounts up to 70% o",review,review,AUTO_APPROVED,neutral
Please complete the mandatory training module befo,notify,notify,AUTO_APPROVED,urgent
Notice: Your account will be locked unless verific,review,review,AUTO_APPROVED,neutral
Notice: Your account will be locked unless verific,review,review,AUTO_APPROVED,neutral
Congratulations! You have been selected as a lucky,review,review,AUTO_APPROVED,neutral
Your order #9808 has been shipped and is expected ,review,review,AUTO_APPROVED,neutral
Congratulations! You have been selected as a lucky,review,review,AUTO_APPROVED,neutral
Notice: Your account will be locked unless verific,review,review,AUTO_APPROVED,neutral
Reminder: The client meeting is scheduled at 17:00,notify,notify,AUTO_APPROVED,neutral
Your invoice of INR 34531.11 is due on 2026-01-08.,respond,respond,WAIT_FOR_HUMAN,polite
