Unnamed: 0,id,sender,subject,body,priority,triage_label,ideal_intent,ideal_tone,clean_text,predicted_action,predicted_tone,score
0,1,alerts@bank.com,Password Reset Request,Reminder: The client meeting is scheduled at 10:00 tomorrow. Prepare your slides.,low,notify_human,notify,neutral,reminder the client meeting is scheduled at 10 00 tomorrow prepare your slides,respond,neutral,1
1,2,alerts@bank.com,Congratulations! You've Won,Your invoice of INR 25515.09 is due on 2025-12-12. Please pay to avoid late fees.,low,respond,respond,polite,your invoice of inr 25515 09 is due on 2025 12 12 please pay to avoid late fees,respond,neutral,1
2,3,no-reply@service.com,Promotion: Big Sale,Reminder: The client meeting is scheduled at 11:30 tomorrow. Prepare your slides.,low,ignore,ignore,neutral,reminder the client meeting is scheduled at 11 30 tomorrow prepare your slides,respond,neutral,1
3,4,sales@shop.com,Monthly Report,"Hello team, please find the attached weekly report and action items for the project.",medium,respond,respond,polite,hello team please find the attached weekly report and action items for the project,respond,neutral,1
4,5,no-reply@service.com,Survey,"Hello team, please find the attached weekly report and action items for the project.",low,respond,respond,polite,hello team please find the attached weekly report and action items for the project,respond,neutral,1
5,6,alerts@bank.com,Unusual Login Attempt,Your invoice of INR 38766.88 is due on 2025-12-14. Please pay to avoid late fees.,low,notify_human,notify,urgent,your invoice of inr 38766 88 is due on 2025 12 14 please pay to avoid late fees,respond,neutral,0
6,7,hr@company.com,Project Update,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,ignore,ignore,polite,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,respond,neutral,0
7,8,sales@shop.com,Project Update,Your order #6313 has been shipped and is expected to deliver by 2026-01-10.,medium,respond,respond,neutral,your order 6313 has been shipped and is expected to deliver by 2026 01 10,notify,urgent,0
8,9,security@bank.com,Account Suspended,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",high,notify_human,notify,urgent,dear user we detected a login from a new device if this wasn t you reset your password immediately,respond,neutral,0
9,10,boss@company.com,Monthly Report,Your invoice of INR 32944.21 is due on 2025-12-24. Please pay to avoid late fees.,low,respond,respond,polite,your invoice of inr 32944 21 is due on 2025 12 24 please pay to avoid late fees,respond,neutral,1
10,11,support@cloud.com,Survey,Reminder: The client meeting is scheduled at 15:30 tomorrow. Prepare your slides.,high,respond,respond,neutral,reminder the client meeting is scheduled at 15 30 tomorrow prepare your slides,ignore,polite,0
11,12,news@techblog.com,Policy Update,Your order #3621 has been shipped and is expected to deliver by 2025-12-13.,medium,respond,respond,neutral,your order 3621 has been shipped and is expected to deliver by 2025 12 13,notify,urgent,0
12,13,teamlead@company.com,Subscription Renewal,"Hello team, please find the attached weekly report and action items for the project.",medium,respond,respond,polite,hello team please find the attached weekly report and action items for the project,respond,neutral,1
13,14,alerts@bank.com,Survey,Reminder: The client meeting is scheduled at 10:30 tomorrow. Prepare your slides.,low,respond,respond,neutral,reminder the client meeting is scheduled at 10 30 tomorrow prepare your slides,respond,neutral,2
14,15,security@bank.com,Security Alert,Please complete the mandatory training module before the deadline.,medium,notify_human,notify,urgent,please complete the mandatory training module before the deadline,respond,neutral,0
15,16,news@techblog.com,Payment Overdue,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,notify_human,notify,urgent,hi don t miss our sale with discounts up to 70 on selected items click to know more,respond,neutral,0
16,17,alerts@bank.com,Payment Overdue,Reminder: The client meeting is scheduled at 10:00 tomorrow. Prepare your slides.,medium,notify_human,notify,urgent,reminder the client meeting is scheduled at 10 00 tomorrow prepare your slides,respond,neutral,0
17,18,support@cloud.com,Meeting Agenda,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",medium,ignore,ignore,neutral,hi don t miss our sale with discounts up to 70 on selected items click to know more,respond,neutral,1
18,19,teamlead@company.com,Congratulations! You've Won,Please complete the mandatory training module before the deadline.,high,respond,respond,urgent,please complete the mandatory training module before the deadline,respond,neutral,1
19,20,hr@company.com,Welcome to Service,Please complete the mandatory training module before the deadline.,low,respond,respond,urgent,please complete the mandatory training module before the deadline,respond,neutral,1
20,21,support@cloud.com,Account Suspended,Notice: Your account will be locked unless verification is completed.,high,notify_human,notify,urgent,notice your account will be locked unless verification is completed,respond,neutral,0
21,22,hr@company.com,Weekly Newsletter,Please complete the mandatory training module before the deadline.,low,ignore,ignore,urgent,please complete the mandatory training module before the deadline,respond,neutral,0
22,23,boss@company.com,Promotion: Big Sale,Your order #2545 has been shipped and is expected to deliver by 2025-12-27.,low,ignore,ignore,neutral,your order 2545 has been shipped and is expected to deliver by 2025 12 27,respond,neutral,1
23,24,teamlead@company.com,Payment Overdue,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,notify,urgent,security alert multiple failed login attempts were recorded on your account,respond,neutral,0
24,25,hr@company.com,Invoice Due,Your invoice of INR 9983.71 is due on 2025-12-29. Please pay to avoid late fees.,low,respond,respond,polite,your invoice of inr 9983 71 is due on 2025 12 29 please pay to avoid late fees,respond,neutral,1
25,26,no-reply@service.com,Account Suspended,"Hello team, please find the attached weekly report and action items for the project.",medium,notify_human,notify,urgent,hello team please find the attached weekly report and action items for the project,notify,urgent,2
26,27,support@cloud.com,Password Reset Request,"Hello team, please find the attached weekly report and action items for the project.",low,notify_human,notify,polite,hello team please find the attached weekly report and action items for the project,respond,neutral,0
27,28,sales@shop.com,Event Invitation,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",low,notify_human,notify,urgent,dear user we detected a login from a new device if this wasn t you reset your password immediately,respond,neutral,0
28,29,support@cloud.com,Action Required,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,ignore,ignore,neutral,hi don t miss our sale with discounts up to 70 on selected items click to know more,respond,neutral,1
29,30,boss@company.com,Action Required,Please complete the mandatory training module before the deadline.,low,respond,respond,urgent,please complete the mandatory training module before the deadline,respond,neutral,1
30,31,news@techblog.com,Weekly Newsletter,Notice: Your account will be locked unless verification is completed.,high,notify_human,notify,neutral,notice your account will be locked unless verification is completed,respond,neutral,1
31,32,boss@company.com,Account Suspended,Notice: Your account will be locked unless verification is completed.,low,notify_human,notify,urgent,notice your account will be locked unless verification is completed,respond,neutral,0
32,33,orders@ecom.com,Congratulations! You've Won,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,ignore,ignore,polite,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,respond,neutral,0
33,34,alerts@bank.com,Password Reset Request,Your order #9808 has been shipped and is expected to deliver by 2025-12-30.,low,notify_human,notify,neutral,your order 9808 has been shipped and is expected to deliver by 2025 12 30,respond,neutral,1
34,35,orders@ecom.com,Meeting Agenda,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,ignore,ignore,polite,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,respond,neutral,0
35,36,support@cloud.com,Order Shipped,Notice: Your account will be locked unless verification is completed.,high,notify_human,notify,neutral,notice your account will be locked unless verification is completed,respond,neutral,1
36,37,alerts@bank.com,Meeting Agenda,Reminder: The client meeting is scheduled at 17:00 tomorrow. Prepare your slides.,low,respond,respond,neutral,reminder the client meeting is scheduled at 17 00 tomorrow prepare your slides,respond,neutral,2
37,38,sales@shop.com,Monthly Report,Your invoice of INR 34531.11 is due on 2026-01-08. Please pay to avoid late fees.,high,respond,respond,polite,your invoice of inr 34531 11 is due on 2026 01 08 please pay to avoid late fees,respond,neutral,1
38,39,security@bank.com,Weekly Newsletter,Security alert: multiple failed login attempts were recorded on your account.,medium,notify_human,notify,urgent,security alert multiple failed login attempts were recorded on your account,respond,neutral,0
39,40,orders@ecom.com,Project Update,Your order #2832 has been shipped and is expected to deliver by 2025-12-25.,low,respond,respond,neutral,your order 2832 has been shipped and is expected to deliver by 2025 12 25,respond,neutral,2
40,41,news@techblog.com,Survey,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",low,notify_human,notify,urgent,dear user we detected a login from a new device if this wasn t you reset your password immediately,respond,neutral,0
41,42,orders@ecom.com,Payment Overdue,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",medium,notify_human,notify,urgent,dear user we detected a login from a new device if this wasn t you reset your password immediately,respond,neutral,0
42,43,teamlead@company.com,Subscription Renewal,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,ignore,ignore,neutral,hi don t miss our sale with discounts up to 70 on selected items click to know more,respond,neutral,1
43,44,hr@company.com,System Maintenance,Your invoice of INR 13706.88 is due on 2026-01-06. Please pay to avoid late fees.,medium,respond,respond,polite,your invoice of inr 13706 88 is due on 2026 01 06 please pay to avoid late fees,respond,neutral,1
44,45,sales@shop.com,Congratulations! You've Won,Your order #1387 has been shipped and is expected to deliver by 2026-01-07.,medium,respond,respond,polite,your order 1387 has been shipped and is expected to deliver by 2026 01 07,respond,neutral,1
45,46,teamlead@company.com,Monthly Report,Reminder: The client meeting is scheduled at 13:30 tomorrow. Prepare your slides.,low,respond,respond,neutral,reminder the client meeting is scheduled at 13 30 tomorrow prepare your slides,respond,neutral,2
46,47,support@cloud.com,Monthly Report,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",low,notify_human,notify,urgent,dear user we detected a login from a new device if this wasn t you reset your password immediately,respond,neutral,0
47,48,teamlead@company.com,Payment Overdue,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,notify_human,notify,urgent,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,respond,neutral,0
48,49,teamlead@company.com,Password Reset Request,Please complete the mandatory training module before the deadline.,low,notify_human,notify,urgent,please complete the mandatory training module before the deadline,respond,neutral,0
49,50,hr@company.com,Subscription Renewal,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,ignore,ignore,polite,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,notify,urgent,0
50,51,orders@ecom.com,Survey,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,ignore,ignore,neutral,hi don t miss our sale with discounts up to 70 on selected items click to know more,respond,neutral,1
51,52,security@bank.com,Order Shipped,Reminder: The client meeting is scheduled at 14:30 tomorrow. Prepare your slides.,low,respond,respond,neutral,reminder the client meeting is scheduled at 14 30 tomorrow prepare your slides,respond,neutral,2
52,53,sales@shop.com,Policy Update,Your order #5649 has been shipped and is expected to deliver by 2026-01-06.,low,respond,respond,neutral,your order 5649 has been shipped and is expected to deliver by 2026 01 06,respond,neutral,2
53,54,boss@company.com,Monthly Report,"Hello team, please find the attached weekly report and action items for the project.",medium,respond,respond,polite,hello team please find the attached weekly report and action items for the project,respond,neutral,1
54,55,news@techblog.com,Password Reset Request,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",medium,notify_human,notify,urgent,dear user we detected a login from a new device if this wasn t you reset your password immediately,respond,neutral,0
55,56,boss@company.com,Congratulations! You've Won,Security alert: multiple failed login attempts were recorded on your account.,medium,notify_human,notify,urgent,security alert multiple failed login attempts were recorded on your account,respond,neutral,0
56,57,sales@shop.com,Project Update,Please complete the mandatory training module before the deadline.,low,respond,respond,urgent,please complete the mandatory training module before the deadline,respond,neutral,1
57,58,no-reply@service.com,Policy Update,Please complete the mandatory training module before the deadline.,low,respond,respond,urgent,please complete the mandatory training module before the deadline,respond,neutral,1
58,59,news@techblog.com,Action Required,Your order #4919 has been shipped and is expected to deliver by 2025-12-19.,low,respond,respond,neutral,your order 4919 has been shipped and is expected to deliver by 2025 12 19,respond,neutral,2
59,60,alerts@bank.com,Order Shipped,Your invoice of INR 13949.9 is due on 2025-12-22. Please pay to avoid late fees.,low,respond,respond,polite,your invoice of inr 13949 9 is due on 2025 12 22 please pay to avoid late fees,respond,neutral,1
60,61,teamlead@company.com,Meeting Agenda,Your invoice of INR 3679.33 is due on 2025-12-25. Please pay to avoid late fees.,low,respond,respond,polite,your invoice of inr 3679 33 is due on 2025 12 25 please pay to avoid late fees,respond,neutral,1
61,62,teamlead@company.com,Event Invitation,Notice: Your account will be locked unless verification is completed.,high,notify_human,notify,neutral,notice your account will be locked unless verification is completed,respond,neutral,1
62,63,orders@ecom.com,Event Invitation,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,notify,urgent,security alert multiple failed login attempts were recorded on your account,respond,neutral,0
63,64,teamlead@company.com,Action Required,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",high,notify_human,notify,urgent,dear user we detected a login from a new device if this wasn t you reset your password immediately,notify,urgent,2
64,65,boss@company.com,Survey,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",low,notify_human,notify,urgent,dear user we detected a login from a new device if this wasn t you reset your password immediately,respond,neutral,0
65,66,no-reply@service.com,Project Update,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",low,notify_human,notify,urgent,dear user we detected a login from a new device if this wasn t you reset your password immediately,respond,neutral,0
66,67,teamlead@company.com,Security Alert,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,notify,urgent,security alert multiple failed login attempts were recorded on your account,respond,neutral,0
67,68,hr@company.com,Account Suspended,"Hello team, please find the attached weekly report and action items for the project.",low,notify_human,notify,urgent,hello team please find the attached weekly report and action items for the project,respond,neutral,0
68,69,security@bank.com,Subscription Renewal,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",medium,ignore,ignore,neutral,hi don t miss our sale with discounts up to 70 on selected items click to know more,respond,neutral,1
69,70,hr@company.com,Project Update,Notice: Your account will be locked unless verification is completed.,low,notify_human,notify,neutral,notice your account will be locked unless verification is completed,respond,neutral,1
70,71,security@bank.com,Order Shipped,Notice: Your account will be locked unless verification is completed.,low,notify_human,notify,neutral,notice your account will be locked unless verification is completed,respond,neutral,1
71,72,sales@shop.com,Invoice Due,Reminder: The client meeting is scheduled at 10:00 tomorrow. Prepare your slides.,low,respond,respond,neutral,reminder the client meeting is scheduled at 10 00 tomorrow prepare your slides,respond,neutral,2
72,73,hr@company.com,Weekly Newsletter,Please complete the mandatory training module before the deadline.,low,ignore,ignore,urgent,please complete the mandatory training module before the deadline,respond,neutral,0
73,74,hr@company.com,Welcome to Service,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",medium,ignore,ignore,polite,hi don t miss our sale with discounts up to 70 on selected items click to know more,respond,neutral,0
74,75,no-reply@service.com,System Maintenance,Notice: Your account will be locked unless verification is completed.,medium,notify_human,notify,neutral,notice your account will be locked unless verification is completed,respond,neutral,1
75,76,sales@shop.com,Welcome to Service,Notice: Your account will be locked unless verification is completed.,medium,notify_human,notify,polite,notice your account will be locked unless verification is completed,respond,neutral,0
76,77,news@techblog.com,Action Required,Your invoice of INR 18063.84 is due on 2025-12-20. Please pay to avoid late fees.,low,respond,respond,polite,your invoice of inr 18063 84 is due on 2025 12 20 please pay to avoid late fees,respond,neutral,1
77,78,support@cloud.com,Congratulations! You've Won,"Hello team, please find the attached weekly report and action items for the project.",medium,respond,respond,polite,hello team please find the attached weekly report and action items for the project,respond,neutral,1
78,79,no-reply@service.com,Welcome to Service,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",medium,notify_human,notify,urgent,dear user we detected a login from a new device if this wasn t you reset your password immediately,ignore,polite,0
79,80,hr@company.com,Action Required,Please complete the mandatory training module before the deadline.,medium,respond,respond,urgent,please complete the mandatory training module before the deadline,respond,neutral,1
80,81,orders@ecom.com,Order Shipped,Reminder: The client meeting is scheduled at 12:30 tomorrow. Prepare your slides.,medium,respond,respond,neutral,reminder the client meeting is scheduled at 12 30 tomorrow prepare your slides,respond,neutral,2
81,82,news@techblog.com,Congratulations! You've Won,Your invoice of INR 37060.93 is due on 2025-12-20. Please pay to avoid late fees.,medium,respond,respond,polite,your invoice of inr 37060 93 is due on 2025 12 20 please pay to avoid late fees,respond,neutral,1
82,83,orders@ecom.com,Account Suspended,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,notify_human,notify,urgent,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,respond,neutral,0
83,84,security@bank.com,Survey,Reminder: The client meeting is scheduled at 16:00 tomorrow. Prepare your slides.,low,respond,respond,neutral,reminder the client meeting is scheduled at 16 00 tomorrow prepare your slides,respond,neutral,2
84,85,no-reply@service.com,Action Required,Your order #2869 has been shipped and is expected to deliver by 2025-12-13.,medium,respond,respond,neutral,your order 2869 has been shipped and is expected to deliver by 2025 12 13,respond,neutral,2
85,86,teamlead@company.com,Action Required,"Hello team, please find the attached weekly report and action items for the project.",medium,respond,respond,polite,hello team please find the attached weekly report and action items for the project,respond,neutral,1
86,87,orders@ecom.com,Weekly Newsletter,Your invoice of INR 6363.35 is due on 2026-01-05. Please pay to avoid late fees.,low,ignore,ignore,polite,your invoice of inr 6363 35 is due on 2026 01 05 please pay to avoid late fees,respond,neutral,0
87,88,no-reply@service.com,Order Shipped,Notice: Your account will be locked unless verification is completed.,medium,notify_human,notify,neutral,notice your account will be locked unless verification is completed,respond,neutral,1
88,89,orders@ecom.com,Weekly Newsletter,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,ignore,ignore,neutral,hi don t miss our sale with discounts up to 70 on selected items click to know more,respond,neutral,1
89,90,boss@company.com,Action Required,Reminder: The client meeting is scheduled at 13:30 tomorrow. Prepare your slides.,medium,respond,respond,neutral,reminder the client meeting is scheduled at 13 30 tomorrow prepare your slides,respond,neutral,2
90,91,orders@ecom.com,Promotion: Big Sale,Your invoice of INR 21544.38 is due on 2025-12-29. Please pay to avoid late fees.,medium,ignore,ignore,polite,your invoice of inr 21544 38 is due on 2025 12 29 please pay to avoid late fees,respond,neutral,0
91,92,alerts@bank.com,Unusual Login Attempt,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,notify_human,notify,urgent,hi don t miss our sale with discounts up to 70 on selected items click to know more,respond,neutral,0
92,93,orders@ecom.com,Event Invitation,Reminder: The client meeting is scheduled at 16:00 tomorrow. Prepare your slides.,medium,respond,respond,neutral,reminder the client meeting is scheduled at 16 00 tomorrow prepare your slides,notify,urgent,0
93,94,hr@company.com,Subscription Renewal,Reminder: The client meeting is scheduled at 9:30 tomorrow. Prepare your slides.,medium,respond,respond,neutral,reminder the client meeting is scheduled at 9 30 tomorrow prepare your slides,respond,neutral,2
94,95,news@techblog.com,Action Required,Please complete the mandatory training module before the deadline.,medium,respond,respond,urgent,please complete the mandatory training module before the deadline,respond,neutral,1
95,96,no-reply@service.com,Weekly Newsletter,Your order #3634 has been shipped and is expected to deliver by 2025-12-22.,low,ignore,ignore,neutral,your order 3634 has been shipped and is expected to deliver by 2025 12 22,respond,neutral,1
96,97,no-reply@service.com,Order Shipped,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,notify,urgent,security alert multiple failed login attempts were recorded on your account,respond,neutral,0
97,98,hr@company.com,Invoice Due,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,notify,urgent,security alert multiple failed login attempts were recorded on your account,respond,neutral,0
98,99,support@cloud.com,Payment Overdue,Notice: Your account will be locked unless verification is completed.,low,notify_human,notify,urgent,notice your account will be locked unless verification is completed,respond,neutral,0
99,100,news@techblog.com,Order Shipped,Your order #4920 has been shipped and is expected to deliver by 2025-12-27.,medium,respond,respond,neutral,your order 4920 has been shipped and is expected to deliver by 2025 12 27,respond,neutral,2
100,101,orders@ecom.com,Survey,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",high,notify_human,notify,urgent,dear user we detected a login from a new device if this wasn t you reset your password immediately,,,0
101,102,news@techblog.com,Action Required,Reminder: The client meeting is scheduled at 15:30 tomorrow. Prepare your slides.,low,respond,respond,neutral,reminder the client meeting is scheduled at 15 30 tomorrow prepare your slides,,,0
102,103,support@cloud.com,Meeting Agenda,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,notify,urgent,security alert multiple failed login attempts were recorded on your account,,,0
103,104,teamlead@company.com,Monthly Report,Please complete the mandatory training module before the deadline.,medium,respond,respond,urgent,please complete the mandatory training module before the deadline,,,0
104,105,no-reply@service.com,Survey,Your order #8460 has been shipped and is expected to deliver by 2025-12-29.,high,respond,respond,neutral,your order 8460 has been shipped and is expected to deliver by 2025 12 29,,,0
105,106,sales@shop.com,Account Suspended,Notice: Your account will be locked unless verification is completed.,medium,notify_human,notify,urgent,notice your account will be locked unless verification is completed,,,0
