id,body,ideal_intent,ideal_tone,predicted_intent,predicted_tone,score
1,Reminder: This is a gentle reminder about the project review meeting scheduled tomorrow at 10:00 AM in Conference Room 1. Please be on time.,notify,neutral,notify,neutral,2
2,Reminder: This is a gentle reminder about the project review meeting scheduled tomorrow at 10:00 AM in Conference Room 2. Please be on time.,notify,neutral,notify,neutral,2
3,Reminder: This is a gentle reminder about the project review meeting scheduled tomorrow at 10:00 AM in Conference Room 3. Please be on time.,notify,neutral,notify,neutral,2
4,Reminder: This is a gentle reminder about the project review meeting scheduled tomorrow at 10:00 AM in Conference Room 4. Please be on time.,notify,neutral,notify,neutral,2
5,Reminder: This is a gentle reminder about the project review meeting scheduled tomorrow at 10:00 AM in Conference Room 5. Please be on time.,notify,neutral,notify,neutral,2
6,Reminder: This is a gentle reminder about the project review meeting scheduled tomorrow at 10:00 AM in Conference Room 1. Please be on time.,notify,neutral,notify,neutral,2
7,Reminder: This is a gentle reminder about the project review meeting scheduled tomorrow at 10:00 AM in Conference Room 2. Please be on time.,notify,neutral,notify,neutral,2
8,Reminder: This is a gentle reminder about the project review meeting scheduled tomorrow at 10:00 AM in Conference Room 3. Please be on time.,notify,neutral,notify,neutral,2
9,Reminder: This is a gentle reminder about the project review meeting scheduled tomorrow at 10:00 AM in Conference Room 4. Please be on time.,notify,neutral,notify,neutral,2
10,Reminder: This is a gentle reminder about the project review meeting scheduled tomorrow at 10:00 AM in Conference Room 5. Please be on time.,notify,neutral,notify,neutral,2
11,Reminder: This is a gentle reminder about the project review meeting scheduled tomorrow at 10:00 AM in Conference Room 1. Please be on time.,notify,neutral,notify,neutral,2
12,Reminder: This is a gentle reminder about the project review meeting scheduled tomorrow at 10:00 AM in Conference Room 2. Please be on time.,notify,neutral,notify,neutral,2
13,Reminder: This is a gentle reminder about the project review meeting scheduled tomorrow at 10:00 AM in Conference Room 3. Please be on time.,notify,neutral,notify,neutral,2
14,Reminder: This is a gentle reminder about the project review meeting scheduled tomorrow at 10:00 AM in Conference Room 4. Please be on time.,notify,neutral,notify,neutral,2
15,Reminder: This is a gentle reminder about the project review meeting scheduled tomorrow at 10:00 AM in Conference Room 5. Please be on time.,notify,neutral,notify,neutral,2
16,Reminder: This is a gentle reminder about the project review meeting scheduled tomorrow at 10:00 AM in Conference Room 1. Please be on time.,notify,neutral,notify,neutral,2
17,Reminder: This is a gentle reminder about the project review meeting scheduled tomorrow at 10:00 AM in Conference Room 2. Please be on time.,notify,neutral,notify,neutral,2
18,Reminder: This is a gentle reminder about the project review meeting scheduled tomorrow at 10:00 AM in Conference Room 3. Please be on time.,notify,neutral,notify,neutral,2
19,Reminder: This is a gentle reminder about the project review meeting scheduled tomorrow at 10:00 AM in Conference Room 4. Please be on time.,notify,neutral,notify,neutral,2
20,Reminder: This is a gentle reminder about the project review meeting scheduled tomorrow at 10:00 AM in Conference Room 5. Please be on time.,notify,neutral,notify,neutral,2
21,"Dear Customer, your invoice INV-1000 amounting to INR 5000 is due within 3 days. Kindly complete the payment to avoid late charges.",respond,urgent,respond,urgent,2
22,"Dear Customer, your invoice INV-1001 amounting to INR 5250 is due within 3 days. Kindly complete the payment to avoid late charges.",respond,urgent,respond,urgent,2
23,"Dear Customer, your invoice INV-1002 amounting to INR 5500 is due within 3 days. Kindly complete the payment to avoid late charges.",respond,urgent,respond,urgent,2
24,"Dear Customer, your invoice INV-1003 amounting to INR 5750 is due within 3 days. Kindly complete the payment to avoid late charges.",respond,urgent,respond,urgent,2
25,"Dear Customer, your invoice INV-1004 amounting to INR 6000 is due within 3 days. Kindly complete the payment to avoid late charges.",respond,urgent,respond,urgent,2
26,"Dear Customer, your invoice INV-1005 amounting to INR 6250 is due within 3 days. Kindly complete the payment to avoid late charges.",respond,urgent,respond,urgent,2
27,"Dear Customer, your invoice INV-1006 amounting to INR 6500 is due within 3 days. Kindly complete the payment to avoid late charges.",respond,urgent,respond,urgent,2
28,"Dear Customer, your invoice INV-1007 amounting to INR 6750 is due within 3 days. Kindly complete the payment to avoid late charges.",respond,urgent,respond,urgent,2
29,"Dear Customer, your invoice INV-1008 amounting to INR 7000 is due within 3 days. Kindly complete the payment to avoid late charges.",respond,urgent,respond,urgent,2
30,"Dear Customer, your invoice INV-1009 amounting to INR 7250 is due within 3 days. Kindly complete the payment to avoid late charges.",respond,urgent,respond,urgent,2
31,"Dear Customer, your invoice INV-1010 amounting to INR 7500 is due within 3 days. Kindly complete the payment to avoid late charges.",respond,urgent,respond,urgent,2
32,"Dear Customer, your invoice INV-1011 amounting to INR 7750 is due within 3 days. Kindly complete the payment to avoid late charges.",respond,urgent,respond,urgent,2
33,"Dear Customer, your invoice INV-1012 amounting to INR 8000 is due within 3 days. Kindly complete the payment to avoid late charges.",respond,urgent,respond,urgent,2
34,"Dear Customer, your invoice INV-1013 amounting to INR 8250 is due within 3 days. Kindly complete the payment to avoid late charges.",respond,urgent,respond,urgent,2
35,"Dear Customer, your invoice INV-1014 amounting to INR 8500 is due within 3 days. Kindly complete the payment to avoid late charges.",respond,urgent,respond,urgent,2
36,"Dear Customer, your invoice INV-1015 amounting to INR 8750 is due within 3 days. Kindly complete the payment to avoid late charges.",respond,urgent,respond,urgent,2
37,"Dear Customer, your invoice INV-1016 amounting to INR 9000 is due within 3 days. Kindly complete the payment to avoid late charges.",respond,urgent,respond,urgent,2
38,"Dear Customer, your invoice INV-1017 amounting to INR 9250 is due within 3 days. Kindly complete the payment to avoid late charges.",respond,urgent,respond,urgent,2
39,"Dear Customer, your invoice INV-1018 amounting to INR 9500 is due within 3 days. Kindly complete the payment to avoid late charges.",respond,urgent,respond,urgent,2
40,"Dear Customer, your invoice INV-1019 amounting to INR 9750 is due within 3 days. Kindly complete the payment to avoid late charges.",respond,urgent,respond,urgent,2
41,"Dear Student, congratulations on being shortlisted for the Summer Internship Program. Please confirm your availability by replying to this email.",respond,polite,respond,polite,2
42,"Dear Student, congratulations on being shortlisted for the Summer Internship Program. Please confirm your availability by replying to this email.",respond,polite,respond,polite,2
43,"Dear Student, congratulations on being shortlisted for the Summer Internship Program. Please confirm your availability by replying to this email.",respond,polite,respond,polite,2
44,"Dear Student, congratulations on being shortlisted for the Summer Internship Program. Please confirm your availability by replying to this email.",respond,polite,respond,polite,2
45,"Dear Student, congratulations on being shortlisted for the Summer Internship Program. Please confirm your availability by replying to this email.",respond,polite,respond,polite,2
46,"Dear Student, congratulations on being shortlisted for the Summer Internship Program. Please confirm your availability by replying to this email.",respond,polite,respond,polite,2
47,"Dear Student, congratulations on being shortlisted for the Summer Internship Program. Please confirm your availability by replying to this email.",respond,polite,respond,polite,2
48,"Dear Student, congratulations on being shortlisted for the Summer Internship Program. Please confirm your availability by replying to this email.",respond,polite,respond,polite,2
49,"Dear Student, congratulations on being shortlisted for the Summer Internship Program. Please confirm your availability by replying to this email.",respond,polite,respond,polite,2
50,"Dear Student, congratulations on being shortlisted for the Summer Internship Program. Please confirm your availability by replying to this email.",respond,polite,respond,polite,2
51,"Dear Student, congratulations on being shortlisted for the Summer Internship Program. Please confirm your availability by replying to this email.",respond,polite,respond,polite,2
52,"Dear Student, congratulations on being shortlisted for the Summer Internship Program. Please confirm your availability by replying to this email.",respond,polite,respond,polite,2
53,"Dear Student, congratulations on being shortlisted for the Summer Internship Program. Please confirm your availability by replying to this email.",respond,polite,respond,polite,2
54,"Dear Student, congratulations on being shortlisted for the Summer Internship Program. Please confirm your availability by replying to this email.",respond,polite,respond,polite,2
55,"Dear Student, congratulations on being shortlisted for the Summer Internship Program. Please confirm your availability by replying to this email.",respond,polite,respond,polite,2
56,"Dear Student, congratulations on being shortlisted for the Summer Internship Program. Please confirm your availability by replying to this email.",respond,polite,respond,polite,2
57,"Dear Student, congratulations on being shortlisted for the Summer Internship Program. Please confirm your availability by replying to this email.",respond,polite,respond,polite,2
58,"Dear Student, congratulations on being shortlisted for the Summer Internship Program. Please confirm your availability by replying to this email.",respond,polite,respond,polite,2
59,"Dear Student, congratulations on being shortlisted for the Summer Internship Program. Please confirm your availability by replying to this email.",respond,polite,respond,polite,2
60,"Dear Student, congratulations on being shortlisted for the Summer Internship Program. Please confirm your availability by replying to this email.",respond,polite,respond,polite,2
61,"Hello, I would like to know more about the services you offer and the pricing details. Please share the information at your convenience.",respond,polite,respond,polite,2
62,"Hello, I would like to know more about the services you offer and the pricing details. Please share the information at your convenience.",respond,polite,respond,polite,2
63,"Hello, I would like to know more about the services you offer and the pricing details. Please share the information at your convenience.",respond,polite,respond,polite,2
64,"Hello, I would like to know more about the services you offer and the pricing details. Please share the information at your convenience.",respond,polite,respond,polite,2
65,"Hello, I would like to know more about the services you offer and the pricing details. Please share the information at your convenience.",respond,polite,respond,polite,2
66,"Hello, I would like to know more about the services you offer and the pricing details. Please share the information at your convenience.",respond,polite,respond,polite,2
67,"Hello, I would like to know more about the services you offer and the pricing details. Please share the information at your convenience.",respond,polite,respond,polite,2
68,"Hello, I would like to know more about the services you offer and the pricing details. Please share the information at your convenience.",respond,polite,respond,polite,2
69,"Hello, I would like to know more about the services you offer and the pricing details. Please share the information at your convenience.",respond,polite,respond,polite,2
70,"Hello, I would like to know more about the services you offer and the pricing details. Please share the information at your convenience.",respond,polite,respond,polite,2
71,"Hello, I would like to know more about the services you offer and the pricing details. Please share the information at your convenience.",respond,polite,respond,polite,2
72,"Hello, I would like to know more about the services you offer and the pricing details. Please share the information at your convenience.",respond,polite,respond,polite,2
73,"Hello, I would like to know more about the services you offer and the pricing details. Please share the information at your convenience.",respond,polite,respond,polite,2
74,"Hello, I would like to know more about the services you offer and the pricing details. Please share the information at your convenience.",respond,polite,respond,polite,2
75,"Hello, I would like to know more about the services you offer and the pricing details. Please share the information at your convenience.",respond,polite,respond,polite,2
76,"Hello, I would like to know more about the services you offer and the pricing details. Please share the information at your convenience.",respond,polite,respond,polite,2
77,"Hello, I would like to know more about the services you offer and the pricing details. Please share the information at your convenience.",respond,polite,respond,polite,2
78,"Hello, I would like to know more about the services you offer and the pricing details. Please share the information at your convenience.",respond,polite,respond,polite,2
79,"Hello, I would like to know more about the services you offer and the pricing details. Please share the information at your convenience.",respond,polite,respond,polite,2
80,"Hello, I would like to know more about the services you offer and the pricing details. Please share the information at your convenience.",respond,polite,respond,polite,2
81,Thank you for attending the webinar. This email is for your reference only. No further action is required.,ignore,neutral,ignore,neutral,2
82,Thank you for attending the webinar. This email is for your reference only. No further action is required.,ignore,neutral,ignore,neutral,2
83,Thank you for attending the webinar. This email is for your reference only. No further action is required.,ignore,neutral,ignore,neutral,2
84,Thank you for attending the webinar. This email is for your reference only. No further action is required.,ignore,neutral,ignore,neutral,2
85,Thank you for attending the webinar. This email is for your reference only. No further action is required.,ignore,neutral,ignore,neutral,2
86,Thank you for attending the webinar. This email is for your reference only. No further action is required.,ignore,neutral,ignore,neutral,2
87,Thank you for attending the webinar. This email is for your reference only. No further action is required.,ignore,neutral,ignore,neutral,2
88,Thank you for attending the webinar. This email is for your reference only. No further action is required.,ignore,neutral,ignore,neutral,2
89,Thank you for attending the webinar. This email is for your reference only. No further action is required.,ignore,neutral,ignore,neutral,2
90,Thank you for attending the webinar. This email is for your reference only. No further action is required.,ignore,neutral,ignore,neutral,2
91,Thank you for attending the webinar. This email is for your reference only. No further action is required.,ignore,neutral,ignore,neutral,2
92,Thank you for attending the webinar. This email is for your reference only. No further action is required.,ignore,neutral,ignore,neutral,2
93,Thank you for attending the webinar. This email is for your reference only. No further action is required.,ignore,neutral,ignore,neutral,2
94,Thank you for attending the webinar. This email is for your reference only. No further action is required.,ignore,neutral,ignore,neutral,2
95,Thank you for attending the webinar. This email is for your reference only. No further action is required.,ignore,neutral,ignore,neutral,2
96,Thank you for attending the webinar. This email is for your reference only. No further action is required.,ignore,neutral,ignore,neutral,2
97,Thank you for attending the webinar. This email is for your reference only. No further action is required.,ignore,neutral,ignore,neutral,2
98,Thank you for attending the webinar. This email is for your reference only. No further action is required.,ignore,neutral,ignore,neutral,2
99,Thank you for attending the webinar. This email is for your reference only. No further action is required.,ignore,neutral,ignore,neutral,2
100,Thank you for attending the webinar. This email is for your reference only. No further action is required.,ignore,neutral,ignore,neutral,2
