email_text,expected_action,expected_tone
"Hi team, just a reminder that the Q3 strategy meeting is starting in 15 minutes in Room 302.",notify,urgent
"Dear Student, your internship application for the Summer 2025 batch has been received. We will review it shortly.",notify,polite
"Attached is the invoice for the web development services provided in November. Please acknowledge receipt.",respond,polite
"Hey, are we still on for lunch today? Let me know if you need to reschedule.",respond,neutral
"Congratulations! You have been selected for the final round of interviews for the SDE Intern role at TechCorp.",respond,polite
"The server will be undergoing scheduled maintenance this Saturday from 2 AM to 4 AM UTC. No action is required.",notify,neutral
"Can you please send me the lecture notes from yesterday's Data Structures class? I missed the session.",respond,polite
"Urgent: The production database is down. We need everyone on the bridge call immediately.",notify,urgent
"Weekly Newsletter: Top 10 trends in AI and Machine Learning for this week.",ignore,neutral
"Please confirm your attendance for the upcoming workshop by replying to this email by EOD.",respond,urgent
"Your payment of $50.00 for subscription renewal was successful. Thank you for your business.",notify,polite
"Hi, I wanted to follow up on my previous email regarding the project deadline extension. Is it approved?",respond,polite
"Limited time offer! Get 50% off on all electronics this weekend only.",ignore,neutral
"Professor, could you please clarify the requirements for the final project submission? The guidelines are slightly ambiguous.",respond,polite
"Meeting rescheduled: The daily standup has been moved to 11:30 AM to accommodate the client call.",notify,neutral
"Attached is the syllabus for the upcoming semester. Please read through it before the first class.",notify,neutral
"I am writing to inquire about open research assistant positions in your lab for the upcoming fall semester.",respond,polite
"Payment Overdue: Your invoice is 5 days past due. Please settle this immediately to avoid service interruption.",respond,urgent
"Quick question - do we have the updated API documentation link? The old one seems broken.",respond,neutral
"FYI, I have pushed the latest code changes to the 'feature-login' branch.",notify,neutral
"Join us for the annual hackathon! Register now to win exciting prizes.",ignore,polite
"Can we schedule a quick sync later today to discuss the blockers on the frontend task?",respond,neutral
"Your library book 'Introduction to Algorithms' is due tomorrow. Please renew or return it.",notify,urgent
"Dear Customer, we noticed a new login to your account from an unrecognized device. Was this you?",respond,urgent
"Happy Birthday! Wishing you a fantastic year ahead from the HR team.",respond,polite
"Reminder: The deadline for submitting the assignment is tonight at 11:59 PM.",notify,urgent
"Could you review the attached PR when you get a chance? I've fixed the bug in the login module.",respond,polite
"Automatic Reply: I am currently out of the office with no access to email. I will respond upon my return.",ignore,neutral
"Please find the minutes of the meeting attached for your reference.",notify,neutral
"Is there any update on the budget approval for the new hardware procurement?",respond,neutral
"Reminder: Your dental appointment is scheduled for tomorrow at 10:00 AM.",notify,neutral
"Hi, I noticed a typo in the documentation on page 42. Should I open a PR to fix it?",respond,polite
"Alert: High CPU usage detected on instance i-098234. Immediate investigation required.",notify,urgent
"Your monthly statement for the internet bill is now available for viewing.",notify,neutral
"Hey, are you free to chat for 5 mins regarding the UI design?",respond,neutral
