id,email_text,expected_action,expected_tone,Clean_text,predicted_action,predicted_tone,action_correct,tone_correct
1,"Hi team, just a reminder that the Q3 marketing sync is scheduled for tomorrow at 10 AM. Please update the slide deck.",respond,neutral,hi team just a reminder that the q marketing sync is scheduled for tomorrow at  am please update the slide deck,ignore,neutral,False,True
2,Invoice #2024-001 is now overdue by 5 days. Please process the payment immediately to avoid service interruption.,notify,urgent,invoice  is now overdue by  days please process the payment immediately to avoid service interruption,notify,urgent,True,True
3,Congratulations! You have been shortlisted for the Software Engineer Intern role. Please reply with your availability for an interview.,respond,polite,congratulations you have been shortlisted for the software engineer intern role please reply with your availability for an interview,respond,polite,True,True
4,"Hey, are we still on for lunch today? Let me know if you need to reschedule.",respond,casual,hey are we still on for lunch today let me know if you need to reschedule,respond,neutral,True,False
5,Weekly Newsletter: Top 10 trends in AI this week. Click here to read more.,ignore,neutral,weekly newsletter top  trends in ai this week click here to read more,ignore,neutral,True,True
6,Urgent: The production server is down. We need you to jump on the bridge call right now.,notify,urgent,urgent the production server is down we need you to jump on the bridge call right now,notify,urgent,True,True
7,Can you please send me the syllabus for the upcoming semester exams? Thanks.,respond,polite,can you please send me the syllabus for the upcoming semester exams thanks,respond,neutral,True,False
8,Automatic Reply: I am currently out of the office with limited access to email. I will respond when I return.,ignore,neutral,automatic reply i am currently out of the office with limited access to email i will respond when i return,ignore,neutral,True,True
9,Your subscription to Spotify has been successfully renewed. No action is needed.,ignore,neutral,your subscription to spotify has been successfully renewed no action is needed,ignore,neutral,True,True
10,Attached is the final report for the project. Let me know if you have any feedback.,respond,neutral,attached is the final report for the project let me know if you have any feedback,respond,neutral,True,True
11,Reminder: Your dentist appointment is tomorrow at 2 PM.,notify,neutral,reminder your dentist appointment is tomorrow at  pm,respond,neutral,False,True
12,Please find the attached invoice for the recent hardware purchase. Payment is due in 30 days.,notify,neutral,please find the attached invoice for the recent hardware purchase payment is due in  days,respond,neutral,False,True
13,Quick question - what is the wifi password for the guest network?,respond,neutral,quick question  what is the wifi password for the guest network,respond,neutral,True,True
14,"Dear Student, the deadline for submitting your assignment has been extended by 24 hours.",notify,polite,dear student the deadline for submitting your assignment has been extended by  hours,respond,neutral,False,False
15,50% OFF on all shoes! Limited time offer. Shop now.,ignore,neutral, off on all shoes limited time offer shop now,ignore,neutral,True,True
16,Could you review my pull request when you get a chance? It's blocking the release.,respond,neutral,could you review my pull request when you get a chance its blocking the release,respond,neutral,True,True
17,Meeting canceled: Project Kickoff. We will reschedule for next week.,ignore,neutral,meeting canceled project kickoff we will reschedule for next week,respond,neutral,False,True
18,I'm running 10 minutes late to the standup. Start without me.,ignore,neutral,im running  minutes late to the standup start without me,respond,neutral,False,True
19,"Security Alert: A new device signed into your account. If this wasn't you, change your password immediately.",notify,urgent,security alert a new device signed into your account if this wasnt you change your password immediately,notify,urgent,True,True
20,Happy Birthday! wishing you a fantastic year ahead.,ignore,polite,happy birthday wishing you a fantastic year ahead,respond,neutral,False,False
21,Can you help me debug this React Native error? I'm stuck.,respond,neutral,can you help me debug this react native error im stuck,respond,neutral,True,True
22,Your package has been delivered to the front desk.,notify,neutral,your package has been delivered to the front desk,respond,neutral,False,True
23,Please updated your contact information in the HR portal by Friday.,respond,neutral,please updated your contact information in the hr portal by friday,respond,neutral,True,True
24,Do not reply to this email. This is a system generated notification.,ignore,neutral,do not reply to this email this is a system generated notification,ignore,neutral,True,True
25,Invitation: Code Review Session @ Thu 3pm.,respond,neutral,invitation code review session  thu pm,respond,neutral,True,True
26,"Hi, I am interested in your research regarding deep learning in agriculture. Can we chat?",respond,polite,hi i am interested in your research regarding deep learning in agriculture can we chat,respond,neutral,True,False
27,Your credit card ending in 1234 was declined. Please update your payment method.,notify,urgent,your credit card ending in  was declined please update your payment method,notify,urgent,True,True
28,Don't forget to submit your timesheet for this week.,notify,neutral,dont forget to submit your timesheet for this week,respond,neutral,False,True
29,FW: The client wants to change the scope of the project. We need to discuss this ASAP.,notify,urgent,fw the client wants to change the scope of the project we need to discuss this asap,respond,neutral,False,False
30,Welcome to the team! We are excited to have you on board.,respond,polite,welcome to the team we are excited to have you on board,respond,neutral,True,False
31,New assignment uploaded: Data Structures Lab 4.,notify,neutral,new assignment uploaded data structures lab ,respond,neutral,False,True
32,Can you share the link to the Figma design file?,respond,neutral,can you share the link to the figma design file,respond,neutral,True,True
33,Refund processed: $29.99 has been credited to your account.,ignore,neutral,refund processed  has been credited to your account,respond,neutral,False,True
34,Are you free for a quick call to discuss the hackathon ideas?,respond,neutral,are you free for a quick call to discuss the hackathon ideas,respond,neutral,True,True
35,Google Calendar Reminder: Dentist Appointment in 30 minutes.,ignore,neutral,google calendar reminder dentist appointment in  minutes,respond,neutral,False,True
36,Please approve the budget request for the new monitors.,respond,urgent,please approve the budget request for the new monitors,respond,neutral,True,False
