email_text,expected_action,expected_tone
"Reminder: Team meeting scheduled tomorrow at 10 AM in Conference Room B.",notify,neutral
"Please find attached the invoice for last month's services. Kindly process the payment at the earliest.",respond,polite
"Congratulations! You have been selected for the summer internship program.",notify,polite
"Your subscription has been successfully renewed.",ignore,neutral
"URGENT: Payment deadline missed. Immediate action required.",respond,urgent
"Thank you for your feedback on our product. We appreciate your insights.",respond,polite
"We regret to inform you that your application has not been successful.",notify,formal
"Happy Birthday! Wishing you a wonderful year ahead.",notify,cheerful
"Please review the attached document and provide your comments by end of day.",respond,formal
"System maintenance scheduled for this weekend. Expect downtime from 2 AM to 4 AM.",notify,neutral
"Your order has been shipped and is expected to arrive within 3-5 business days.",notify,neutral
"Action required: Update your account information to avoid service interruption.",respond,urgent
"Welcome to our community! We're excited to have you on board.",notify,cheerful
"Apologies for the inconvenience caused. We are working to resolve the issue.",respond,apologetic
"Don't miss out on our exclusive sale! Up to 50% off on selected items.",notify,excited
"Please confirm your attendance for the upcoming workshop by Friday.",respond,formal
"Your password has been successfully changed.",ignore,neutral
"Important: Changes to our privacy policy effective from next month.",notify,formal
"Thank you for your prompt response. We will get back to you shortly.",respond,polite
"Congratulations on your promotion! Well deserved recognition for your hard work.",notify,cheerful
"Final notice: Your account will be suspended if payment is not received within 48 hours.",respond,urgent
"Season's greetings! Wishing you a joyful holiday season.",notify,cheerful
"Please find below the agenda for tomorrow's meeting.",notify,neutral
"Your feedback is valuable to us. Please take a moment to complete our survey.",respond,polite
"Alert: Unusual activity detected on your account. Please verify immediately.",respond,urgent
"Thank you for choosing our services. We look forward to serving you again.",respond,polite
"Important update: New features have been added to your account.",notify,neutral
"Sorry for the delay in response. We are addressing your concern as quickly as possible.",respond,apologetic
"Join us for a webinar on the latest industry trends next week.",notify,excited
"Please submit your project report by the end of this week.",respond,formal
"Your membership has been successfully activated.",ignore,neutral
"Congratulations! You've won a gift card. Click here to claim your prize.",notify,excited
"Reminder: Submit your timesheet by 5 PM today to ensure timely processing.",respond,neutral
"Thank you for your patience while we resolved the issue.",respond,apologetic
"Important: Verify your email address to complete the registration process.",respond,urgent
"Welcome aboard! We're thrilled to have you as part of our team.",notify,cheerful
"Please find the minutes of the last meeting attached for your reference.",notify,neutral
