id,body,predicted_intent,predicted_tone,confidence,decision,final_action
1,Reminder: The client meeting is scheduled at 10:00 tomorrow. Prepare your slides.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
2,Your invoice of INR 25515.09 is due on 2025-12-12. Please pay to avoid late fees.,respond,polite,0.8,AUTO_APPROVED,respond
3,Reminder: The client meeting is scheduled at 11:30 tomorrow. Prepare your slides.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
4,"Hello team, please find the attached weekly report and action items for the project.",respond,polite,0.8,AUTO_APPROVED,respond
5,"Hello team, please find the attached weekly report and action items for the project.",respond,polite,0.8,AUTO_APPROVED,respond
6,Your invoice of INR 38766.88 is due on 2025-12-14. Please pay to avoid late fees.,respond,polite,0.8,AUTO_APPROVED,respond
7,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
8,Your order #6313 has been shipped and is expected to deliver by 2026-01-10.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
9,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",notify,urgent,0.9,AUTO_APPROVED,notify
10,Your invoice of INR 32944.21 is due on 2025-12-24. Please pay to avoid late fees.,respond,polite,0.8,AUTO_APPROVED,respond
11,Reminder: The client meeting is scheduled at 15:30 tomorrow. Prepare your slides.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
12,Your order #3621 has been shipped and is expected to deliver by 2025-12-13.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
13,"Hello team, please find the attached weekly report and action items for the project.",respond,polite,0.8,AUTO_APPROVED,respond
14,Reminder: The client meeting is scheduled at 10:30 tomorrow. Prepare your slides.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
15,Please complete the mandatory training module before the deadline.,notify,urgent,0.9,AUTO_APPROVED,notify
16,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
17,Reminder: The client meeting is scheduled at 10:00 tomorrow. Prepare your slides.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
18,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
19,Please complete the mandatory training module before the deadline.,notify,urgent,0.9,AUTO_APPROVED,notify
20,Please complete the mandatory training module before the deadline.,notify,urgent,0.9,AUTO_APPROVED,notify
21,Notice: Your account will be locked unless verification is completed.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
22,Please complete the mandatory training module before the deadline.,notify,urgent,0.9,AUTO_APPROVED,notify
23,Your order #2545 has been shipped and is expected to deliver by 2025-12-27.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
24,Security alert: multiple failed login attempts were recorded on your account.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
25,Your invoice of INR 9983.71 is due on 2025-12-29. Please pay to avoid late fees.,respond,polite,0.8,AUTO_APPROVED,respond
26,"Hello team, please find the attached weekly report and action items for the project.",respond,polite,0.8,AUTO_APPROVED,respond
27,"Hello team, please find the attached weekly report and action items for the project.",respond,polite,0.8,AUTO_APPROVED,respond
28,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",notify,urgent,0.9,AUTO_APPROVED,notify
29,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
30,Please complete the mandatory training module before the deadline.,notify,urgent,0.9,AUTO_APPROVED,notify
31,Notice: Your account will be locked unless verification is completed.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
32,Notice: Your account will be locked unless verification is completed.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
33,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
34,Your order #9808 has been shipped and is expected to deliver by 2025-12-30.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
35,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
36,Notice: Your account will be locked unless verification is completed.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
37,Reminder: The client meeting is scheduled at 17:00 tomorrow. Prepare your slides.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
38,Your invoice of INR 34531.11 is due on 2026-01-08. Please pay to avoid late fees.,respond,polite,0.8,AUTO_APPROVED,respond
39,Security alert: multiple failed login attempts were recorded on your account.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
40,Your order #2832 has been shipped and is expected to deliver by 2025-12-25.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
41,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",notify,urgent,0.9,AUTO_APPROVED,notify
42,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",notify,urgent,0.9,AUTO_APPROVED,notify
43,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
44,Your invoice of INR 13706.88 is due on 2026-01-06. Please pay to avoid late fees.,respond,polite,0.8,AUTO_APPROVED,respond
45,Your order #1387 has been shipped and is expected to deliver by 2026-01-07.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
46,Reminder: The client meeting is scheduled at 13:30 tomorrow. Prepare your slides.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
47,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",notify,urgent,0.9,AUTO_APPROVED,notify
48,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
49,Please complete the mandatory training module before the deadline.,notify,urgent,0.9,AUTO_APPROVED,notify
50,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
51,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
52,Reminder: The client meeting is scheduled at 14:30 tomorrow. Prepare your slides.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
53,Your order #5649 has been shipped and is expected to deliver by 2026-01-06.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
54,"Hello team, please find the attached weekly report and action items for the project.",respond,polite,0.8,AUTO_APPROVED,respond
55,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",notify,urgent,0.9,AUTO_APPROVED,notify
56,Security alert: multiple failed login attempts were recorded on your account.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
57,Please complete the mandatory training module before the deadline.,notify,urgent,0.9,AUTO_APPROVED,notify
58,Please complete the mandatory training module before the deadline.,notify,urgent,0.9,AUTO_APPROVED,notify
59,Your order #4919 has been shipped and is expected to deliver by 2025-12-19.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
60,Your invoice of INR 13949.9 is due on 2025-12-22. Please pay to avoid late fees.,respond,polite,0.8,AUTO_APPROVED,respond
61,Your invoice of INR 3679.33 is due on 2025-12-25. Please pay to avoid late fees.,respond,polite,0.8,AUTO_APPROVED,respond
62,Notice: Your account will be locked unless verification is completed.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
63,Security alert: multiple failed login attempts were recorded on your account.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
64,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",notify,urgent,0.9,AUTO_APPROVED,notify
65,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",notify,urgent,0.9,AUTO_APPROVED,notify
66,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",notify,urgent,0.9,AUTO_APPROVED,notify
67,Security alert: multiple failed login attempts were recorded on your account.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
68,"Hello team, please find the attached weekly report and action items for the project.",respond,polite,0.8,AUTO_APPROVED,respond
69,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
70,Notice: Your account will be locked unless verification is completed.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
71,Notice: Your account will be locked unless verification is completed.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
72,Reminder: The client meeting is scheduled at 10:00 tomorrow. Prepare your slides.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
73,Please complete the mandatory training module before the deadline.,notify,urgent,0.9,AUTO_APPROVED,notify
74,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
75,Notice: Your account will be locked unless verification is completed.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
76,Notice: Your account will be locked unless verification is completed.,review,neutral,0.4,HUMAN_REVIEW_REQUIRED,respond
77,Your invoice of INR 18063.84 is due on 2025-12-20. Please pay to avoid late fees.,respond,polite,0.8,AUTO_APPROVED,respond
78,"Hello team, please find the attached weekly report and action items for the project.",respond,polite,0.8,AUTO_APPROVED,respond
79,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",notify,urgent,0.9,AUTO_APPROVED,notify
