email_text,expected_action,expected_tone,clean_text,assistant_output,predicted_action,predicted_tone,action_correct,tone_correct
Reminder: The project review meeting is scheduled tomorrow at 10 AM.,respond,polite,reminder the project review meeting is scheduled tomorrow at am,"('respond', 'neutral')",respond,neutral,True,False
Your electricity bill for August is due by 25th. Please make the payment.,respond,urgent,your electricity bill for august is due by th please make the payment,"('respond', 'neutral')",respond,neutral,True,False
Newsletter: Top career tips for engineering students.,ignore,neutral,newsletter top career tips for engineering students,"('respond', 'neutral')",respond,neutral,False,True
Server CPU usage has crossed 90%. Immediate attention required.,notify,urgent,server cpu usage has crossed immediate attention required,"('respond', 'neutral')",respond,neutral,False,False
"Hi, can you please share the updated project documentation?",respond,polite,hi can you please share the updated project documentation,"('respond', 'neutral')",respond,neutral,True,False
Your order #4321 has been delivered successfully.,ignore,neutral,your order has been delivered successfully,"('respond', 'neutral')",respond,neutral,False,True
Final reminder: Internship report submission deadline is today.,respond,urgent,final reminder internship report submission deadline is today,"('notify', 'urgent')",notify,urgent,False,True
Congratulations! You have won a gift voucher. Click to claim.,ignore,neutral,congratulations you have won a gift voucher click to claim,"('respond', 'neutral')",respond,neutral,False,True
Please approve the purchase request raised yesterday.,notify,polite,please approve the purchase request raised yesterday,"('respond', 'neutral')",respond,neutral,False,False
Daily news digest No action required.,ignore,neutral,daily news digest no action required,"('respond', 'neutral')",respond,neutral,False,True
The client has requested changes to the UI design.,notify,polite,the client has requested changes to the ui design,"('respond', 'neutral')",respond,neutral,False,False
Meeting postponed to Friday at 3 PM.,notify,neutral,meeting postponed to friday at pm,"('respond', 'neutral')",respond,neutral,False,True
Your mobile recharge was successful.,ignore,neutral,your mobile recharge was successful,"('respond', 'neutral')",respond,neutral,False,True
Submit your assignment on LMS before midnight.,respond,urgent,submit your assignment on lms before midnight,"('notify', 'urgent')",notify,urgent,False,True
Reminder to complete mandatory cybersecurity training.,respond,polite,reminder to complete mandatory cybersecurity training,"('respond', 'neutral')",respond,neutral,True,False
Weekly progress report attached for your review.,respond,polite,weekly progress report attached for your review,"('respond', 'neutral')",respond,neutral,True,False
Your account password was changed successfully.,notify,neutral,your account password was changed successfully,"('respond', 'neutral')",respond,neutral,False,True
Invitation to attend the tech webinar tomorrow.,respond,polite,invitation to attend the tech webinar tomorrow,"('respond', 'neutral')",respond,neutral,True,False
System maintenance scheduled tonight from 11 PM.,notify,neutral,system maintenance scheduled tonight from pm,"('respond', 'neutral')",respond,neutral,False,True
Discount sale on electronics Limited period offer.,ignore,neutral,discount sale on electronics limited period offer,"('respond', 'neutral')",respond,neutral,False,True
Please confirm your availability for the interview.,respond,polite,please confirm your availability for the interview,"('respond', 'neutral')",respond,neutral,True,False
Library books are overdue. Fine applicable.,respond,urgent,library books are overdue fine applicable,"('respond', 'neutral')",respond,neutral,True,False
Team lunch planned this Friday.,ignore,neutral,team lunch planned this friday,"('respond', 'neutral')",respond,neutral,False,True
Payment failed. Retry immediately to avoid service interruption.,respond,urgent,payment failed retry immediately to avoid service interruption,"('respond', 'neutral')",respond,neutral,True,False
New policy update: Work from home guidelines.,notify,neutral,new policy update work from home guidelines,"('respond', 'neutral')",respond,neutral,False,True
Monthly salary has been credited to your account.,ignore,neutral,monthly salary has been credited to your account,"('respond', 'neutral')",respond,neutral,False,True
Client escalation: Issue not resolved within SLA.,notify,urgent,client escalation issue not resolved within sla,"('respond', 'neutral')",respond,neutral,False,False
Reminder: Fill semester feedback form.,respond,polite,reminder fill semester feedback form,"('respond', 'neutral')",respond,neutral,True,False
Your subscription will expire tomorrow.,respond,urgent,your subscription will expire tomorrow,"('respond', 'neutral')",respond,neutral,True,False
Spam alert: Unusual login detected.,notify,urgent,spam alert unusual login detected,"('respond', 'neutral')",respond,neutral,False,False
Thank you for contacting customer support.,ignore,neutral,thank you for contacting customer support,"('ignore', 'polite')",ignore,polite,True,False
Urgent: Production server is down.,notify,urgent,urgent production server is down,"('notify', 'urgent')",notify,urgent,True,True
Meeting minutes from today's call.,respond,polite,meeting minutes from todays call,"('respond', 'neutral')",respond,neutral,True,False
Join us for the annual cultural fest.,ignore,neutral,join us for the annual cultural fest,"('respond', 'neutral')",respond,neutral,False,True
Your exam hall ticket is now available.,respond,polite,your exam hall ticket is now available,"('respond', 'neutral')",respond,neutral,True,False
Reminder: Fee payment deadline today.,respond,urgent,reminder fee payment deadline today,"('notify', 'urgent')",notify,urgent,False,True
Security alert: Multiple failed login attempts.,notify,urgent,security alert multiple failed login attempts,"('respond', 'neutral')",respond,neutral,False,False
Survey request: Share your feedback.,ignore,neutral,survey request share your feedback,"('respond', 'neutral')",respond,neutral,False,True
Please review and sign the attached agreement.,respond,polite,please review and sign the attached agreement,"('respond', 'neutral')",respond,neutral,True,False
Reminder: Stand-up meeting in 15 minutes.,notify,urgent,reminder standup meeting in minutes,"('respond', 'neutral')",respond,neutral,False,False
Your food order has been dispatched.,ignore,neutral,your food order has been dispatched,"('respond', 'neutral')",respond,neutral,False,True
Client requested an urgent call today.,notify,urgent,client requested an urgent call today,"('notify', 'urgent')",notify,urgent,True,True
Welcome to the internship program.,ignore,polite,welcome to the internship program,"('respond', 'neutral')",respond,neutral,False,False
Final notice: Account will be suspended.,respond,urgent,final notice account will be suspended,"('respond', 'neutral')",respond,neutral,True,False
Please verify your email address.,respond,polite,please verify your email address,"('respond', 'neutral')",respond,neutral,True,False
Weekly newsletter from the alumni association.,ignore,neutral,weekly newsletter from the alumni association,"('respond', 'neutral')",respond,neutral,False,True
Project deadline extended by two days.,notify,neutral,project deadline extended by two days,"('notify', 'urgent')",notify,urgent,True,False
Immediate action required: Compliance violation detected.,notify,urgent,immediate action required compliance violation detected,"('respond', 'neutral')",respond,neutral,False,False
