email,ai_action,final_action,hitl_status,tone
Reminder: The client meeting is scheduled at 10:00,notify,notify,Auto_approve,neutral
Your invoice of INR 25515.09 is due on 2025-12-12.,respond,respond,Wait_for_human,polite
Reminder: The client meeting is scheduled at 11:30,notify,notify,Auto_approve,neutral
"Hello team, please find the attached weekly report",respond,respond,Wait_for_human,polite
"Hello team, please find the attached weekly report",respond,respond,Wait_for_human,polite
Your invoice of INR 38766.88 is due on 2025-12-14.,respond,respond,Wait_for_human,polite
Congratulations! You have been selected as a lucky,respond,respond,Wait_for_human,neutral
Your order #6313 has been shipped and is expected ,respond,respond,Wait_for_human,neutral
"Dear user, we detected a login from a new device. ",notify,notify,Auto_approve,urgent
Your invoice of INR 32944.21 is due on 2025-12-24.,respond,respond,Wait_for_human,polite
Reminder: The client meeting is scheduled at 15:30,notify,notify,Auto_approve,neutral
Your order #3621 has been shipped and is expected ,respond,respond,Wait_for_human,neutral
"Hello team, please find the attached weekly report",respond,respond,Wait_for_human,polite
Reminder: The client meeting is scheduled at 10:30,notify,notify,Auto_approve,neutral
Please complete the mandatory training module befo,notify,notify,Auto_approve,urgent
"Hi, don't miss our sale with discounts up to 70% o",respond,respond,Wait_for_human,neutral
Reminder: The client meeting is scheduled at 10:00,notify,notify,Auto_approve,neutral
"Hi, don't miss our sale with discounts up to 70% o",respond,respond,Wait_for_human,neutral
Please complete the mandatory training module befo,notify,notify,Auto_approve,urgent
Please complete the mandatory training module befo,notify,notify,Auto_approve,urgent
Notice: Your account will be locked unless verific,notify,notify,Auto_approve,neutral
Please complete the mandatory training module befo,notify,notify,Auto_approve,urgent
Your order #2545 has been shipped and is expected ,respond,respond,Wait_for_human,neutral
Security alert: multiple failed login attempts wer,respond,respond,Wait_for_human,neutral
Your invoice of INR 9983.71 is due on 2025-12-29. ,respond,respond,Wait_for_human,polite
"Hello team, please find the attached weekly report",respond,respond,Wait_for_human,polite
"Hello team, please find the attached weekly report",respond,respond,Wait_for_human,polite
"Dear user, we detected a login from a new device. ",notify,notify,Auto_approve,urgent
"Hi, don't miss our sale with discounts up to 70% o",respond,respond,Wait_for_human,neutral
Please complete the mandatory training module befo,notify,notify,Auto_approve,urgent
Notice: Your account will be locked unless verific,notify,notify,Auto_approve,neutral
Notice: Your account will be locked unless verific,notify,notify,Auto_approve,neutral
Congratulations! You have been selected as a lucky,respond,respond,Wait_for_human,neutral
Your order #9808 has been shipped and is expected ,respond,respond,Wait_for_human,neutral
Congratulations! You have been selected as a lucky,respond,respond,Wait_for_human,neutral
Notice: Your account will be locked unless verific,notify,notify,Auto_approve,neutral
Reminder: The client meeting is scheduled at 17:00,notify,notify,Auto_approve,neutral
Your invoice of INR 34531.11 is due on 2026-01-08.,respond,respond,Wait_for_human,polite
Security alert: multiple failed login attempts wer,respond,respond,Wait_for_human,neutral
Your order #2832 has been shipped and is expected ,respond,respond,Wait_for_human,neutral
"Dear user, we detected a login from a new device. ",notify,notify,Auto_approve,urgent
"Dear user, we detected a login from a new device. ",notify,notify,Auto_approve,urgent
"Hi, don't miss our sale with discounts up to 70% o",respond,respond,Wait_for_human,neutral
Your invoice of INR 13706.88 is due on 2026-01-06.,respond,respond,Wait_for_human,polite
Your order #1387 has been shipped and is expected ,respond,respond,Wait_for_human,neutral
Reminder: The client meeting is scheduled at 13:30,notify,notify,Auto_approve,neutral
"Dear user, we detected a login from a new device. ",notify,notify,Auto_approve,urgent
Congratulations! You have been selected as a lucky,respond,respond,Wait_for_human,neutral
Please complete the mandatory training module befo,notify,notify,Auto_approve,urgent
Congratulations! You have been selected as a lucky,respond,respond,Wait_for_human,neutral
"Hi, don't miss our sale with discounts up to 70% o",respond,respond,Wait_for_human,neutral
Reminder: The client meeting is scheduled at 14:30,notify,notify,Auto_approve,neutral
Your order #5649 has been shipped and is expected ,respond,respond,Wait_for_human,neutral
"Hello team, please find the attached weekly report",respond,respond,Wait_for_human,polite
"Dear user, we detected a login from a new device. ",notify,notify,Auto_approve,urgent
Security alert: multiple failed login attempts wer,respond,respond,Wait_for_human,neutral
Please complete the mandatory training module befo,notify,notify,Auto_approve,urgent
Please complete the mandatory training module befo,notify,notify,Auto_approve,urgent
Your order #4919 has been shipped and is expected ,respond,respond,Wait_for_human,neutral
Your invoice of INR 13949.9 is due on 2025-12-22. ,respond,respond,Wait_for_human,polite
Your invoice of INR 3679.33 is due on 2025-12-25. ,respond,respond,Wait_for_human,polite
Notice: Your account will be locked unless verific,notify,notify,Auto_approve,neutral
Security alert: multiple failed login attempts wer,respond,respond,Wait_for_human,neutral
"Dear user, we detected a login from a new device. ",notify,notify,Auto_approve,urgent
"Dear user, we detected a login from a new device. ",notify,notify,Auto_approve,urgent
"Dear user, we detected a login from a new device. ",notify,notify,Auto_approve,urgent
Security alert: multiple failed login attempts wer,respond,respond,Wait_for_human,neutral
"Hello team, please find the attached weekly report",respond,respond,Wait_for_human,polite
"Hi, don't miss our sale with discounts up to 70% o",respond,respond,Wait_for_human,neutral
Notice: Your account will be locked unless verific,notify,notify,Auto_approve,neutral
Notice: Your account will be locked unless verific,notify,notify,Auto_approve,neutral
Reminder: The client meeting is scheduled at 10:00,notify,notify,Auto_approve,neutral
Please complete the mandatory training module befo,notify,notify,Auto_approve,urgent
"Hi, don't miss our sale with discounts up to 70% o",respond,respond,Wait_for_human,neutral
Notice: Your account will be locked unless verific,notify,notify,Auto_approve,neutral
Notice: Your account will be locked unless verific,notify,notify,Auto_approve,neutral
Your invoice of INR 18063.84 is due on 2025-12-20.,respond,respond,Wait_for_human,polite
"Hello team, please find the attached weekly report",respond,respond,Wait_for_human,polite
"Dear user, we detected a login from a new device. ",notify,notify,Auto_approve,urgent
Please complete the mandatory training module befo,notify,notify,Auto_approve,urgent
Reminder: The client meeting is scheduled at 12:30,notify,notify,Auto_approve,neutral
Your invoice of INR 37060.93 is due on 2025-12-20.,respond,respond,Wait_for_human,polite
Congratulations! You have been selected as a lucky,respond,respond,Wait_for_human,neutral
Reminder: The client meeting is scheduled at 16:00,notify,notify,Auto_approve,neutral
Your order #2869 has been shipped and is expected ,respond,respond,Wait_for_human,neutral
