id,email_text,ideal_intent,ideal_tone
1,Reminder: This is a gentle reminder about the project review meeting scheduled tomorrow at 10:00 AM in Conference Room 1. Please be on time.,notify,neutral
2,Reminder: This is a gentle reminder about the project review meeting scheduled tomorrow at 10:00 AM in Conference Room 2. Please be on time.,notify,neutral
3,Reminder: This is a gentle reminder about the project review meeting scheduled tomorrow at 10:00 AM in Conference Room 3. Please be on time.,notify,neutral
4,Reminder: This is a gentle reminder about the project review meeting scheduled tomorrow at 10:00 AM in Conference Room 4. Please be on time.,notify,neutral
5,Reminder: This is a gentle reminder about the project review meeting scheduled tomorrow at 10:00 AM in Conference Room 5. Please be on time.,notify,neutral
6,Reminder: This is a gentle reminder about the project review meeting scheduled tomorrow at 10:00 AM in Conference Room 1. Please be on time.,notify,neutral
7,Reminder: This is a gentle reminder about the project review meeting scheduled tomorrow at 10:00 AM in Conference Room 2. Please be on time.,notify,neutral
8,Reminder: This is a gentle reminder about the project review meeting scheduled tomorrow at 10:00 AM in Conference Room 3. Please be on time.,notify,neutral
9,Reminder: This is a gentle reminder about the project review meeting scheduled tomorrow at 10:00 AM in Conference Room 4. Please be on time.,notify,neutral
10,Reminder: This is a gentle reminder about the project review meeting scheduled tomorrow at 10:00 AM in Conference Room 5. Please be on time.,notify,neutral
11,Reminder: This is a gentle reminder about the project review meeting scheduled tomorrow at 10:00 AM in Conference Room 1. Please be on time.,notify,neutral
12,Reminder: This is a gentle reminder about the project review meeting scheduled tomorrow at 10:00 AM in Conference Room 2. Please be on time.,notify,neutral
13,Reminder: This is a gentle reminder about the project review meeting scheduled tomorrow at 10:00 AM in Conference Room 3. Please be on time.,notify,neutral
14,Reminder: This is a gentle reminder about the project review meeting scheduled tomorrow at 10:00 AM in Conference Room 4. Please be on time.,notify,neutral
15,Reminder: This is a gentle reminder about the project review meeting scheduled tomorrow at 10:00 AM in Conference Room 5. Please be on time.,notify,neutral
16,Reminder: This is a gentle reminder about the project review meeting scheduled tomorrow at 10:00 AM in Conference Room 1. Please be on time.,notify,neutral
17,Reminder: This is a gentle reminder about the project review meeting scheduled tomorrow at 10:00 AM in Conference Room 2. Please be on time.,notify,neutral
18,Reminder: This is a gentle reminder about the project review meeting scheduled tomorrow at 10:00 AM in Conference Room 3. Please be on time.,notify,neutral
19,Reminder: This is a gentle reminder about the project review meeting scheduled tomorrow at 10:00 AM in Conference Room 4. Please be on time.,notify,neutral
20,Reminder: This is a gentle reminder about the project review meeting scheduled tomorrow at 10:00 AM in Conference Room 5. Please be on time.,notify,neutral
21,"Dear Customer, your invoice INV-1000 amounting to INR 5000 is due within 3 days. Kindly complete the payment to avoid late charges.",respond,urgent
22,"Dear Customer, your invoice INV-1001 amounting to INR 5250 is due within 3 days. Kindly complete the payment to avoid late charges.",respond,urgent
23,"Dear Customer, your invoice INV-1002 amounting to INR 5500 is due within 3 days. Kindly complete the payment to avoid late charges.",respond,urgent
24,"Dear Customer, your invoice INV-1003 amounting to INR 5750 is due within 3 days. Kindly complete the payment to avoid late charges.",respond,urgent
