id,email_text,expected_action,expected_tone,clean_text,predicted_action,predicted_tone,action_correct,tone_correct
1,Newsletter: Top ML papers this week.,ignore,neutral,newsletter top ml papers this week,respond,neutral,False,True
2,Weekly newsletter: Latest AI research updates.,ignore,neutral,weekly newsletter latest ai research updates,respond,neutral,False,True
3,Automatic reply: Out of office till 2025-12-20.,ignore,neutral,automatic reply out of office till ,respond,neutral,False,True
4,Scholarship application status: Shortlisted. Next steps attached.,ignore,neutral,scholarship application status shortlisted next steps attached,respond,neutral,False,True
5,"Payment reminder: INR INR 10,602 outstanding. Due Jan 5.",notify,polite,payment reminder inr inr  outstanding due jan ,respond,urgent,False,False
6,"Dear student, your thesis submission is due 2025-12-20. Upload to portal.",respond,urgent,dear student your thesis submission is due  upload to portal,respond,urgent,True,True
7,Server maintenance completed. All systems normal.,ignore,neutral,server maintenance completed all systems normal,respond,neutral,False,True
8,Thesis review meeting confirmed for Jan 5. Prepare slides.,notify,polite,thesis review meeting confirmed for jan  prepare slides,respond,polite,False,True
9,"Dear student, your thesis submission is due Dec 31. Upload to portal.",respond,urgent,dear student your thesis submission is due dec  upload to portal,respond,urgent,True,True
10,"Invoice #505 for INR INR 8,523 due on 2025-12-20. Payment link attached.",respond,urgent,invoice  for inr inr  due on  payment link attached,respond,urgent,True,True
11,Quick question: Can you review my code changes in PR #734?,respond,polite,quick question can you review my code changes in pr ,respond,neutral,True,False
12,Need help with NLTK stemming. Any recommendations?,respond,polite,need help with nltk stemming any recommendations,respond,neutral,True,False
13,Thesis review meeting confirmed for 2025-12-25. Prepare slides.,notify,polite,thesis review meeting confirmed for  prepare slides,respond,polite,False,True
14,Reminder: Team meeting tomorrow at 10 AM. Please confirm attendance.,respond,urgent,reminder team meeting tomorrow at  am please confirm attendance,respond,polite,True,False
15,Quick question: Can you review my code changes in PR #378?,respond,polite,quick question can you review my code changes in pr ,respond,neutral,True,False
16,"Final notice: Overdue amount INR INR 1,758 due immediately.",respond,urgent,final notice overdue amount inr inr  due immediately,respond,urgent,True,True
17,Project extension approved till Jan 5. Update progress.,ignore,neutral,project extension approved till jan  update progress,respond,polite,False,False
18,Could you clarify the dataset format for crop recommendation?,ignore,neutral,could you clarify the dataset format for crop recommendation,respond,neutral,False,True
19,Urgent: Meeting rescheduled to today 3 PM. Join Zoom link.,notify,polite,urgent meeting rescheduled to today  pm join zoom link,respond,urgent,False,False
20,Faculty meeting reminder: 2 PM in Lab 101.,notify,polite,faculty meeting reminder  pm in lab ,respond,polite,False,True
21,Reminder: Team meeting tomorrow at 3 PM IST. Please confirm attendance.,respond,urgent,reminder team meeting tomorrow at  pm ist please confirm attendance,respond,polite,True,False
22,"Your payment of INR INR 1,585 was successful.",respond,urgent,your payment of inr inr  was successful,respond,urgent,True,True
23,Request: Share the meeting notes from yesterday.,respond,polite,request share the meeting notes from yesterday,respond,polite,True,True
24,Project sync scheduled for 2025-12-25 at 4 PM. Agenda attached.,ignore,neutral,project sync scheduled for  at  pm agenda attached,respond,polite,False,False
25,Grades updated for ML course. Check portal for details.,respond,polite,grades updated for ml course check portal for details,respond,neutral,True,False
26,"Your payment of INR INR 13,654 was successful.",respond,urgent,your payment of inr inr  was successful,respond,urgent,True,True
27,"Invoice #280 for INR INR 3,819 due on 2025-12-20. Payment link attached.",respond,urgent,invoice  for inr inr  due on  payment link attached,respond,urgent,True,True
28,"Invoice #354 for INR INR 11,366 due on 2025-12-20. Payment link attached.",respond,urgent,invoice  for inr inr  due on  payment link attached,respond,urgent,True,True
29,Thesis review meeting confirmed for Dec 31. Prepare slides.,respond,urgent,thesis review meeting confirmed for dec  prepare slides,respond,polite,True,False
30,Thesis review meeting confirmed for 2025-12-20. Prepare slides.,notify,polite,thesis review meeting confirmed for  prepare slides,respond,polite,False,True
31,"Payment reminder: INR INR 8,664 outstanding. Due 2025-12-25.",notify,polite,payment reminder inr inr  outstanding due ,respond,urgent,False,False
32,"Subscription renewal: INR INR 6,853 charged on Dec 31. Receipt attached.",ignore,neutral,subscription renewal inr inr  charged on dec  receipt attached,respond,neutral,False,True
