email_id,sender,subject,body,label
1,john@example.com,Meeting Reminder,"Hi team, this is a reminder for tomorrow's meeting at 10 AM. Please be on time.",ham
2,offers@shopping.com,Special Discount Offer,Huge sale! Get 70% off on all electronics. Limited time offer. Click the link below.,spam
3,support@bank.com,Account Alert,"Your account has been logged in from a new device. If this wasn’t you, please reset password.",ham
4,lottery@claimprize.com,Congratulations!,"You won $1,000,000 in lottery. Send details to claim your prize immediately.",spam
5,hr@company.com,Job Application Update,We received your application. Our team will review and get back soon.,ham
6,news@techworld.com,Weekly Tech Newsletter,"Here’s the latest update in AI, ML, and robotics. Read full article inside.",ham
7,unknown@randommail.com,Win iPhone Free!,Participate and win a brand new iPhone. Click here to register.,spam
8,alerts@amazon.com,Order Shipped,Your order #546234 has been shipped and will arrive in 3 days.,ham
9,crypto@investquick.com,Investment Opportunity,Double your money in 2 weeks! Crypto investment plan available.,spam
10,promotions@travelnow.com,Travel Sale,Book flights with flat 60% off. Offer valid for 24 hours only.,spam
