email_text,expected_action,expected_tone
"Reminder: Project review meeting scheduled tomorrow at 11 AM.","notify","neutral"
"Please find attached the invoice for your August subscription. Payment due by Sept 5.","respond","urgent"
"Thank you for registering for our webinar. No further action is required.","ignore","polite"
"Can you please share the updated design document by today?","respond","urgent"
"This is to inform you that the office will remain closed on Friday.","notify","neutral"
"Your OTP for account login is 482913. Do not share it with anyone.","notify","urgent"
"We noticed unusual activity on your account. Please confirm if this was you.","respond","urgent"
"Monthly newsletter: Top tech trends you should know.","ignore","neutral"
"Your interview has been scheduled for Monday at 10 AM. Please confirm.","respond","neutral"
"Reminder: Assignment submission deadline is tomorrow.","notify","urgent"
"Thank you for your payment. This email is for confirmation only.","ignore","polite"
"Please review the attached contract and share your approval.","respond","neutral"
"Team lunch planned this Friday at 1 PM.","notify","polite"
"Your password was changed successfully.","notify","neutral"
"Limited-time offer! Get 50% off on premium plans.","ignore","neutral"
"Can we reschedule our meeting to Thursday afternoon?","respond","polite"
"This email is to acknowledge receipt of your application.","ignore","neutral"
"Server maintenance scheduled tonight from 12 AM to 2 AM.","notify","neutral"
"Urgent: Action required to avoid service disruption.","respond","urgent"
"Thank you for reaching out. Our team will get back to you shortly.","ignore","polite"
"Please submit your internship documents by end of this week.","respond","neutral"
"Your flight ticket has been booked successfully.","notify","neutral"
"Reminder to update your timesheet before EOD.","notify","urgent"
"Congratulations! You have been selected for the next round.","notify","polite"
"Your order has been delivered. We hope you enjoy your purchase.","ignore","polite"
"Can you clarify your availability for next week?","respond","neutral"
"Security alert: New login detected from a different device.","notify","urgent"
"Join us for the annual company townhall tomorrow.","notify","neutral"
"This is a promotional email about our new product launch.","ignore","neutral"
"Please approve the budget request submitted yesterday.","respond","urgent"
"Thank you for attending the meeting today.","ignore","polite"
"Your bank statement for August is now available.","notify","neutral"
"Reminder: Fee payment deadline is today.","notify","urgent"
"Could you please review my resume and share feedback?","respond","polite"
"Your application status has been updated.","notify","neutral"
"Flash sale starts now! Don’t miss out.","ignore","urgent"
"Please confirm your attendance for the workshop.","respond","neutral"
"Daily report attached for your reference.","notify","neutral"
"This email confirms your leave request has been approved.","notify","polite"
"Update required: Please verify your contact details.","respond","neutral"
"Thank you for your interest in our services.","ignore","polite"
"Meeting agenda for tomorrow’s discussion.","notify","neutral"
"Your internet bill is overdue. Please pay immediately.","respond","urgent"
"Reminder: Complete the compliance training today.","notify","urgent"
"Can you send the final version of the presentation?","respond","neutral"
"System update completed successfully.","ignore","neutral"
"You are invited to join the mentorship program.","notify","polite"
"Please respond with your preferred interview slot.","respond","neutral"
"Weekly summary: Tasks completed and pending.","notify","neutral"
"This email is for informational purposes only.","ignore","neutral"
"Urgent: Submit documents to avoid cancellation.","respond","urgent"
"Thank you for your feedback. We appreciate it.","ignore","polite"
"Your exam schedule has been released.","notify","neutral"
"Can you help me with access to the repository?","respond","polite"
"New company policy update attached.","notify","neutral"
"Reminder: Client call in 30 minutes.","notify","urgent"
"Exclusive invite to premium members only.","ignore","polite"
"Please review and sign the NDA.","respond","urgent"
"Your attendance has been marked for today.","ignore","neutral"
"Action required: Update your KYC details.","respond","urgent"
"Team outing details shared below.","notify","polite"
"Thank you for completing the survey.","ignore","polite"
"Can you confirm receipt of this email?","respond","neutral"
"Reminder: Sprint demo scheduled today.","notify","neutral"
"Your subscription will expire tomorrow.","notify","urgent"
"General announcement: Parking rules updated.","notify","neutral"
"Please share your feedback on the draft.","respond","polite"
"This is an automated email. Please do not reply.","ignore","neutral"
"Urgent meeting scheduled in 1 hour.","notify","urgent"
"Your request has been successfully processed.","ignore","neutral"
"Can you join the call now? It’s urgent.","respond","urgent"
"Monthly performance report available.","notify","neutral"
"Thank you for your cooperation.","ignore","polite"
"Final reminder: Submit your assignment today.","notify","urgent"
"Please let me know if you have any questions.","respond","polite"
