email_id,email_text,expected_action,expected_tone
E001,Quick reminder about today’s client call. Agenda is attached.,notify,neutral
E002,"Hi, our meeting has been moved to 3 PM today. Let me know if this causes any issue.",notify,polite
E003,Calendar invite shared for next Monday’s discussion. No reply needed.,ignore,neutral
E004,Reminder: Project sync tomorrow at 10 AM. Please join the Teams call on time.,notify,neutral
E005,Reminder: Project sync tomorrow at 10 AM. Please join the Teams call on time.,notify,neutral
E006,Weekly standup scheduled as usual. See you there.,ignore,neutral
E007,Reminder: Project sync tomorrow at 10 AM. Please join the Teams call on time.,notify,neutral
E008,Quick reminder about today’s client call. Agenda is attached.,notify,neutral
E009,Weekly standup scheduled as usual. See you there.,ignore,neutral
E010,Reminder: Project sync tomorrow at 10 AM. Please join the Teams call on time.,notify,neutral
E011,Weekly standup scheduled as usual. See you there.,ignore,neutral
E012,"Hi, our meeting has been moved to 3 PM today. Let me know if this causes any issue.",notify,polite
E013,Reminder: Project sync tomorrow at 10 AM. Please join the Teams call on time.,notify,neutral
E014,Reminder: Project sync tomorrow at 10 AM. Please join the Teams call on time.,notify,neutral
E015,Calendar invite shared for next Monday’s discussion. No reply needed.,ignore,neutral
E016,Calendar invite shared for next Monday’s discussion. No reply needed.,ignore,neutral
E017,Reminder: Project sync tomorrow at 10 AM. Please join the Teams call on time.,notify,neutral
E018,"Hi, our meeting has been moved to 3 PM today. Let me know if this causes any issue.",notify,polite
E019,Reminder: Project sync tomorrow at 10 AM. Please join the Teams call on time.,notify,neutral
E020,Weekly standup scheduled as usual. See you there.,ignore,neutral
E021,Attached is the invoice for recent services. Let us know if you have questions.,notify,neutral
E022,Invoice #4589 has been generated. Kindly process the payment by end of day.,notify,urgent
E023,Thank you for your payment. This email is for confirmation only.,ignore,polite
E024,Invoice #4589 has been generated. Kindly process the payment by end of day.,notify,urgent
E025,This is a reminder regarding the pending invoice. Please confirm once paid.,notify,polite
E026,Thank you for your payment. This email is for confirmation only.,ignore,polite
E027,Invoice #4589 has been generated. Kindly process the payment by end of day.,notify,urgent
E028,Thank you for your payment. This email is for confirmation only.,ignore,polite
E029,Thank you for your payment. This email is for confirmation only.,ignore,polite
E030,Attached is the invoice for recent services. Let us know if you have questions.,notify,neutral
E031,Invoice #4589 has been generated. Kindly process the payment by end of day.,notify,urgent
E032,This is a reminder regarding the pending invoice. Please confirm once paid.,notify,polite
E033,Invoice #4589 has been generated. Kindly process the payment by end of day.,notify,urgent
E034,Thank you for your payment. This email is for confirmation only.,ignore,polite
E035,This is a reminder regarding the pending invoice. Please confirm once paid.,notify,polite
E036,Payment for last month is still pending. Immediate attention required.,notify,urgent
E037,Attached is the invoice for recent services. Let us know if you have questions.,notify,neutral
E038,This is a reminder regarding the pending invoice. Please confirm once paid.,notify,polite
E039,Thank you for your payment. This email is for confirmation only.,ignore,polite
E040,Invoice #4589 has been generated. Kindly process the payment by end of day.,notify,urgent
E041,Please confirm acceptance of the internship offer at the earliest.,respond,urgent
E042,This is a reminder to submit your academic documents by tomorrow.,notify,urgent
E043,Please confirm acceptance of the internship offer at the earliest.,respond,urgent
E044,Your internship application has been shortlisted. Further steps will be shared soon.,notify,neutral
E045,We would like to invite you for an internship interview this week. Please reply with your availability.,respond,polite
E046,Please confirm acceptance of the internship offer at the earliest.,respond,urgent
E047,Please confirm acceptance of the internship offer at the earliest.,respond,urgent
E048,Your internship application has been shortlisted. Further steps will be shared soon.,notify,neutral
E049,This is a reminder to submit your academic documents by tomorrow.,notify,urgent
E050,We would like to invite you for an internship interview this week. Please reply with your availability.,respond,polite
E051,Please confirm acceptance of the internship offer at the earliest.,respond,urgent
E052,We would like to invite you for an internship interview this week. Please reply with your availability.,respond,polite
E053,Please confirm acceptance of the internship offer at the earliest.,respond,urgent
E054,We would like to invite you for an internship interview this week. Please reply with your availability.,respond,polite
E055,Please confirm acceptance of the internship offer at the earliest.,respond,urgent
E056,Your internship application has been shortlisted. Further steps will be shared soon.,notify,neutral
E057,Congratulations on being selected for the internship program.,notify,polite
E058,Please confirm acceptance of the internship offer at the earliest.,respond,urgent
E059,Congratulations on being selected for the internship program.,notify,polite
E060,This is a reminder to submit your academic documents by tomorrow.,notify,urgent
E061,Can you clarify the requirements mentioned in the document?,respond,polite
E062,Need more information about the next steps.,respond,neutral
E063,Can you clarify the requirements mentioned in the document?,respond,polite
E064,Following up to check the status of my previous request.,respond,neutral
E065,Following up to check the status of my previous request.,respond,neutral
E066,I had a question regarding yesterday’s discussion.,respond,neutral
E067,I had a question regarding yesterday’s discussion.,respond,neutral
E068,I had a question regarding yesterday’s discussion.,respond,neutral
E069,Could you please share the updated project timeline?,respond,polite
E070,Need more information about the next steps.,respond,neutral
E071,Following up to check the status of my previous request.,respond,neutral
E072,Need more information about the next steps.,respond,neutral
E073,Can you clarify the requirements mentioned in the document?,respond,polite
E074,Following up to check the status of my previous request.,respond,neutral
E075,Can you clarify the requirements mentioned in the document?,respond,polite
E076,Following up to check the status of my previous request.,respond,neutral
E077,Need more information about the next steps.,respond,neutral
E078,Could you please share the updated project timeline?,respond,polite
E079,Could you please share the updated project timeline?,respond,polite
E080,Need more information about the next steps.,respond,neutral
E081,This is an automated notification. No action is required.,ignore,neutral
E082,FYI: System maintenance scheduled this weekend.,ignore,neutral
E083,Sharing this document for your reference.,ignore,neutral
E084,FYI: System maintenance scheduled this weekend.,ignore,neutral
E085,This is an automated notification. No action is required.,ignore,neutral
E086,This is an automated notification. No action is required.,ignore,neutral
E087,Monthly newsletter: company updates and announcements.,ignore,neutral
E088,Monthly newsletter: company updates and announcements.,ignore,neutral
E089,Weekly digest of internal updates.,ignore,neutral
E090,Weekly digest of internal updates.,ignore,neutral
E091,Sharing this document for your reference.,ignore,neutral
E092,Sharing this document for your reference.,ignore,neutral
E093,Sharing this document for your reference.,ignore,neutral
E094,Weekly digest of internal updates.,ignore,neutral
E095,This is an automated notification. No action is required.,ignore,neutral
E096,Weekly digest of internal updates.,ignore,neutral
E097,This is an automated notification. No action is required.,ignore,neutral
E098,Monthly newsletter: company updates and announcements.,ignore,neutral
E099,Monthly newsletter: company updates and announcements.,ignore,neutral
E100,Sharing this document for your reference.,ignore,neutral
