id,email_text,expected_action,expected_tone
1,Newsletter: Top ML papers this week.,ignore,neutral
2,Weekly newsletter: Latest AI research updates.,ignore,neutral
3,Automatic reply: Out of office till 2025-12-20.,ignore,neutral
4,Scholarship application status: Shortlisted. Next steps attached.,ignore,neutral
5,"Payment reminder: INR INR 10,602 outstanding. Due Jan 5.",notify,polite
6,"Dear student, your thesis submission is due 2025-12-20. Upload to portal.",respond,urgent
7,Server maintenance completed. All systems normal.,ignore,neutral
8,Thesis review meeting confirmed for Jan 5. Prepare slides.,notify,polite
9,"Dear student, your thesis submission is due Dec 31. Upload to portal.",respond,urgent
10,"Invoice #505 for INR INR 8,523 due on 2025-12-20. Payment link attached.",respond,urgent
11,Quick question: Can you review my code changes in PR #734?,respond,polite
12,Need help with NLTK stemming. Any recommendations?,respond,polite
13,Thesis review meeting confirmed for 2025-12-25. Prepare slides.,notify,polite
14,Reminder: Team meeting tomorrow at 10 AM. Please confirm attendance.,respond,urgent
15,Quick question: Can you review my code changes in PR #378?,respond,polite
16,"Final notice: Overdue amount INR INR 1,758 due immediately.",respond,urgent
17,Project extension approved till Jan 5. Update progress.,ignore,neutral
18,Could you clarify the dataset format for crop recommendation?,ignore,neutral
19,Urgent: Meeting rescheduled to today 3 PM. Join Zoom link.,notify,polite
20,Faculty meeting reminder: 2 PM in Lab 101.,notify,polite
21,Reminder: Team meeting tomorrow at 3 PM IST. Please confirm attendance.,respond,urgent
22,"Your payment of INR INR 1,585 was successful.",respond,urgent
23,Request: Share the meeting notes from yesterday.,respond,polite
24,Project sync scheduled for 2025-12-25 at 4 PM. Agenda attached.,ignore,neutral
25,Grades updated for ML course. Check portal for details.,respond,polite
26,"Your payment of INR INR 13,654 was successful.",respond,urgent
27,"Invoice #280 for INR INR 3,819 due on 2025-12-20. Payment link attached.",respond,urgent
28,"Invoice #354 for INR INR 11,366 due on 2025-12-20. Payment link attached.",respond,urgent
29,Thesis review meeting confirmed for Dec 31. Prepare slides.,respond,urgent
30,Thesis review meeting confirmed for 2025-12-20. Prepare slides.,notify,polite
31,"Payment reminder: INR INR 8,664 outstanding. Due 2025-12-25.",notify,polite
32,"Subscription renewal: INR INR 6,853 charged on Dec 31. Receipt attached.",ignore,neutral
33,"Invoice #113 for INR INR 1,306 due on Jan 5. Payment link attached.",respond,urgent
34,Project extension approved till Dec 31. Update progress.,ignore,neutral
35,Project sync scheduled for Dec 31 at 4 PM. Agenda attached.,ignore,neutral
36,"Dear student, your thesis submission is due Jan 5. Upload to portal.",respond,urgent
37,"Subscription renewal: INR INR 5,486 charged on Dec 31. Receipt attached.",ignore,neutral
38,Reminder: Team meeting tomorrow at 2 PM. Please confirm attendance.,respond,urgent
