id,body,ideal_intent,ideal_tone
1,Reminder: The client meeting is scheduled at 10:00 tomorrow. Prepare your slides.,notify,urgent
2,Your invoice of INR 25515.09 is due on 2025-12-12. Please pay to avoid late fees.,respond,polite
3,Reminder: The client meeting is scheduled at 11:30 tomorrow. Prepare your slides.,notify,urgent
4,"Hello team, please find the attached weekly report and action items for the project.",respond,polite
5,"Hello team, please find the attached weekly report and action items for the project.",respond,polite
6,Your invoice of INR 38766.88 is due on 2025-12-14. Please pay to avoid late fees.,respond,polite
7,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,ignore,neutral
8,Your order #6313 has been shipped and is expected to deliver by 2026-01-10.,ignore,neutral
9,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",ignore,neutral
10,Your invoice of INR 32944.21 is due on 2025-12-24. Please pay to avoid late fees.,respond,polite
11,Reminder: The client meeting is scheduled at 15:30 tomorrow. Prepare your slides.,notify,urgent
12,Your order #3621 has been shipped and is expected to deliver by 2025-12-13.,ignore,neutral
13,"Hello team, please find the attached weekly report and action items for the project.",respond,polite
14,Reminder: The client meeting is scheduled at 10:30 tomorrow. Prepare your slides.,notify,urgent
15,Please complete the mandatory training module before the deadline.,notify,urgent
16,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",ignore,neutral
17,Reminder: The client meeting is scheduled at 10:00 tomorrow. Prepare your slides.,notify,urgent
18,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",ignore,neutral
19,Please complete the mandatory training module before the deadline.,notify,urgent
20,Please complete the mandatory training module before the deadline.,notify,urgent
21,Notice: Your account will be locked unless verification is completed.,ignore,neutral
22,Please complete the mandatory training module before the deadline.,notify,urgent
23,Your order #2545 has been shipped and is expected to deliver by 2025-12-27.,ignore,neutral
24,Security alert: multiple failed login attempts were recorded on your account.,ignore,neutral
25,Your invoice of INR 9983.71 is due on 2025-12-29. Please pay to avoid late fees.,respond,polite
26,"Hello team, please find the attached weekly report and action items for the project.",respond,polite
27,"Hello team, please find the attached weekly report and action items for the project.",respond,polite
28,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",ignore,neutral
29,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",ignore,neutral
30,Please complete the mandatory training module before the deadline.,notify,urgent
31,Notice: Your account will be locked unless verification is completed.,ignore,neutral
32,Notice: Your account will be locked unless verification is completed.,ignore,neutral
33,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,ignore,neutral
34,Your order #9808 has been shipped and is expected to deliver by 2025-12-30.,ignore,neutral
35,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,ignore,neutral
36,Notice: Your account will be locked unless verification is completed.,ignore,neutral
37,Reminder: The client meeting is scheduled at 17:00 tomorrow. Prepare your slides.,notify,urgent
38,Your invoice of INR 34531.11 is due on 2026-01-08. Please pay to avoid late fees.,respond,polite
39,Security alert: multiple failed login attempts were recorded on your account.,ignore,neutral
40,Your order #2832 has been shipped and is expected to deliver by 2025-12-25.,ignore,neutral
41,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",ignore,neutral
42,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",ignore,neutral
