email_id,subject,body,expected_urgent,expected_spam,expected_action
E001,Reminder: Project Sync,The meeting has been rescheduled. Let me know if this works for you.,no,no,notify
E002,Weekly Standup Reminder,Just a reminder about our meeting tomorrow. Please join on time.,no,no,notify
E003,Meeting Rescheduled,Please don’t forget our call as discussed earlier. Agenda is attached.,no,no,ignore
E004,Reminder: Project Sync,The meeting has been rescheduled. Let me know if this works for you.,no,no,notify
E005,Calendar Invite: Team Discussion,Sharing the calendar invite for our discussion tomorrow.,no,no,ignore
E006,Weekly Standup Reminder,Please don’t forget our call following up on our call. Agenda is attached.,no,no,notify
E007,Weekly Standup Reminder,Just a reminder about our meeting next Monday. Please join on time.,no,no,notify
E008,Calendar Invite: Team Discussion,Sharing the calendar invite for our discussion by end of day.,no,no,ignore
E009,Calendar Invite: Team Discussion,Sharing the calendar invite for our discussion at your convenience.,no,no,notify
E010,Weekly Standup Reminder,Please don’t forget our call this week. Agenda is attached.,no,no,ignore
E011,Weekly Standup Reminder,Just a reminder about our meeting by end of day. Please join on time.,no,no,ignore
E012,Quick Reminder for Today’s Call,The meeting has been rescheduled. Let me know if this works for you.,no,no,ignore
E013,Quick Reminder for Today’s Call,The meeting has been rescheduled. Let me know if this works for you.,no,no,ignore
E014,Weekly Standup Reminder,The meeting has been rescheduled. Let me know if this works for you.,no,no,ignore
E015,Reminder: Project Sync,Please don’t forget our call this week. Agenda is attached.,no,no,notify
E016,Quick Reminder for Today’s Call,Just a reminder about our meeting as discussed earlier. Please join on time.,no,no,ignore
E017,Calendar Invite: Team Discussion,Please don’t forget our call as discussed earlier. Agenda is attached.,no,no,notify
E018,Calendar Invite: Team Discussion,The meeting has been rescheduled. Let me know if this works for you.,no,no,ignore
E019,Meeting Rescheduled,Just a reminder about our meeting today. Please join on time.,no,no,ignore
E020,Calendar Invite: Team Discussion,Just a reminder about our meeting by end of day. Please join on time.,no,no,ignore
E021,Invoice Generated,We noticed the payment is still pending. Please process it this week.,no,no,notify
E022,Invoice for Recent Services,Thank you for your business. Invoice details are attached.,no,no,notify
E023,Invoice for Recent Services,We noticed the payment is still pending. Please process it at your convenience.,yes,no,notify
E024,Invoice Generated,Please find attached the invoice for the recent services. Payment is due by end of day.,yes,no,notify
E025,Invoice Generated,Please find attached the invoice for the recent services. Payment is due by end of day.,no,no,notify
E026,Invoice Generated,Please find attached the invoice for the recent services. Payment is due by end of day.,yes,no,notify
E027,Invoice Generated,We noticed the payment is still pending. Please process it next Monday.,no,no,notify
E028,Billing Update,This is a reminder regarding the pending payment. Kindly check and confirm.,yes,no,notify
E029,Pending Payment Notice,Please find attached the invoice for the recent services. Payment is due by end of day.,yes,no,notify
E030,Invoice for Recent Services,We noticed the payment is still pending. Please process it as discussed earlier.,no,no,notify
E031,Invoice Generated,Your invoice has been generated. Let us know if you have any questions.,no,no,notify
E032,Payment Reminder,Thank you for your business. Invoice details are attached.,yes,no,notify
E033,Payment Reminder,Your invoice has been generated. Let us know if you have any questions.,yes,no,notify
E034,Payment Reminder,Thank you for your business. Invoice details are attached.,no,no,notify
E035,Invoice Generated,This is a reminder regarding the pending payment. Kindly check and confirm.,no,no,notify
E036,Pending Payment Notice,This is a reminder regarding the pending payment. Kindly check and confirm.,yes,no,notify
E037,Invoice Generated,Please find attached the invoice for the recent services. Payment is due this week.,yes,no,notify
E038,Invoice for Recent Services,We noticed the payment is still pending. Please process it next Monday.,yes,no,notify
E039,Payment Reminder,This is a reminder regarding the pending payment. Kindly check and confirm.,no,no,notify
E040,Billing Update,Please find attached the invoice for the recent services. Payment is due today.,no,no,notify
E041,Next Steps for Internship Process,We would like to schedule an interview following up on our call. Please confirm your availability.,yes,no,notify
E042,Internship Application Update,This is a reminder to submit the required documents today.,yes,no,respond
E043,Regarding Your Internship,Your application has been shortlisted. Further details will be shared at your convenience.,yes,no,respond
E044,Academic Submission Reminder,We would like to schedule an interview at your convenience. Please confirm your availability.,yes,no,notify
E045,Next Steps for Internship Process,This email is regarding your internship application. Kindly respond at your convenience.,yes,no,respond
E046,Internship Application Update,Your application has been shortlisted. Further details will be shared next Monday.,yes,no,respond
E047,Interview Invitation,This email is regarding your internship application. Kindly respond next Monday.,yes,no,notify
E048,Regarding Your Internship,This email is regarding your internship application. Kindly respond today.,yes,no,notify
E049,Interview Invitation,Please review the next steps and get back to us following up on our call.,yes,no,respond
E050,Next Steps for Internship Process,This email is regarding your internship application. Kindly respond tomorrow.,yes,no,notify
E051,Academic Submission Reminder,This email is regarding your internship application. Kindly respond next Monday.,yes,no,notify
E052,Internship Application Update,Your application has been shortlisted. Further details will be shared at your convenience.,yes,no,notify
E053,Academic Submission Reminder,This email is regarding your internship application. Kindly respond at your convenience.,yes,no,notify
E054,Interview Invitation,This is a reminder to submit the required documents by end of day.,yes,no,respond
E055,Regarding Your Internship,This email is regarding your internship application. Kindly respond today.,yes,no,respond
E056,Interview Invitation,We would like to schedule an interview next Monday. Please confirm your availability.,yes,no,respond
E057,Internship Application Update,This email is regarding your internship application. Kindly respond tomorrow.,yes,no,respond
E058,Next Steps for Internship Process,This is a reminder to submit the required documents next Monday.,yes,no,notify
E059,Next Steps for Internship Process,Please review the next steps and get back to us at your convenience.,yes,no,respond
E060,Interview Invitation,This email is regarding your internship application. Kindly respond as discussed earlier.,yes,no,notify
E061,Clarification Needed,Looking for an update regarding the task as discussed earlier.,no,no,respond
E062,Quick Question,Can you share more information when possible as discussed earlier?,no,no,respond
E063,Need More Information,Just following up to check the status following up on our call.,no,no,respond
E064,Question Regarding Project,I had a question related to our discussion tomorrow.,no,no,respond
E065,Clarification Needed,Can you share more information when possible following up on our call?,no,no,respond
E066,Need More Information,I had a question related to our discussion as discussed earlier.,no,no,respond
E067,Quick Question,Could you please clarify the details tomorrow?,no,no,respond
E068,Question Regarding Project,Looking for an update regarding the task following up on our call.,no,no,respond
E069,Question Regarding Project,Can you share more information when possible following up on our call?,no,no,respond
E070,Need More Information,Just following up to check the status next Monday.,no,no,respond
E071,Need More Information,Just following up to check the status by end of day.,no,no,respond
E072,Question Regarding Project,I had a question related to our discussion this week.,no,no,respond
E073,Clarification Needed,Can you share more information when possible at your convenience?,no,no,respond
E074,Quick Question,Can you share more information when possible today?,no,no,respond
E075,Quick Question,Can you share more information when possible as discussed earlier?,no,no,respond
E076,Clarification Needed,Just following up to check the status following up on our call.,no,no,respond
E077,Need More Information,Looking for an update regarding the task as discussed earlier.,no,no,respond
E078,Question Regarding Project,I had a question related to our discussion tomorrow.,no,no,respond
E079,Quick Question,Just following up to check the status at your convenience.,no,no,respond
E080,Following Up,Can you share more information when possible next Monday?,no,no,respond
E081,Monthly Newsletter,No action needed. Just keeping you informed.,no,no,ignore
E082,Monthly Newsletter,Please find the weekly updates below.,no,no,ignore
E083,FYI: System Update,Sharing the latest updates for your reference. No action required.,no,no,ignore
E084,Monthly Newsletter,Sharing the latest updates for your reference. No action required.,no,no,ignore
E085,FYI: System Update,This is for your information regarding recent changes.,no,no,ignore
E086,Monthly Newsletter,No action needed. Just keeping you informed.,no,no,ignore
E087,FYI: System Update,This is for your information regarding recent changes.,no,no,ignore
E088,FYI: System Update,Sharing this information in case it’s useful.,no,no,ignore
E089,Monthly Newsletter,No action needed. Just keeping you informed.,no,no,ignore
E090,FYI: System Update,Sharing this information in case it’s useful.,no,no,ignore
E091,Company Announcement,Please find the weekly updates below.,no,no,ignore
E092,FYI: System Update,No action needed. Just keeping you informed.,no,no,ignore
E093,Information Only,Sharing the latest updates for your reference. No action required.,no,no,ignore
E094,FYI: System Update,Please find the weekly updates below.,no,no,ignore
E095,Monthly Newsletter,No action needed. Just keeping you informed.,no,no,ignore
E096,Monthly Newsletter,Please find the weekly updates below.,no,no,ignore
E097,Information Only,Sharing this information in case it’s useful.,no,no,ignore
E098,Weekly Digest,This is for your information regarding recent changes.,no,no,ignore
E099,Monthly Newsletter,No action needed. Just keeping you informed.,no,no,ignore
E100,FYI: System Update,Sharing the latest updates for your reference. No action required.,no,no,ignore
