id,sender,subject,body,priority,triage_label,clean_text,triage,triage_match
1,alerts@bank.com,Password Reset Request,Reminder: The client meeting is scheduled at 10:00 tomorrow. Prepare your slides.,low,notify_human,reminder: the client meeting is scheduled at 10:00 tomorrow. prepare your slides.,respond_or_act,\bmeeting\b
2,alerts@bank.com,Congratulations! You've Won,Your invoice of INR 25515.09 is due on 2025-12-12. Please pay to avoid late fees.,low,respond,your invoice of inr 25515.09 is due on 2025-12-12. please pay to avoid late fees.,notify_human,\binvoice\b
3,no-reply@service.com,Promotion: Big Sale,Reminder: The client meeting is scheduled at 11:30 tomorrow. Prepare your slides.,low,ignore,reminder: the client meeting is scheduled at 11:30 tomorrow. prepare your slides.,respond_or_act,\bmeeting\b
4,sales@shop.com,Monthly Report,"Hello team, please find the attached weekly report and action items for the project.",medium,respond,"hello team, please find the attached weekly report and action items for the project.",respond_or_act,\battached\b
5,no-reply@service.com,Survey,"Hello team, please find the attached weekly report and action items for the project.",low,respond,"hello team, please find the attached weekly report and action items for the project.",respond_or_act,\battached\b
6,alerts@bank.com,Unusual Login Attempt,Your invoice of INR 38766.88 is due on 2025-12-14. Please pay to avoid late fees.,low,notify_human,your invoice of inr 38766.88 is due on 2025-12-14. please pay to avoid late fees.,notify_human,\binvoice\b
7,hr@company.com,Project Update,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,ignore,congratulations! you have been selected as a lucky winner. claim your prize now by clicking the link.,ignore,\bcongratulations\b
8,sales@shop.com,Project Update,Your order #6313 has been shipped and is expected to deliver by 2026-01-10.,medium,respond,your order #6313 has been shipped and is expected to deliver by 2026-01-10.,respond_or_act,default_fallback
9,security@bank.com,Account Suspended,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",high,notify_human,"dear user, we detected a login from a new device. if this wasn't you, reset your password immediately.",notify_human,\bpassword\b
10,boss@company.com,Monthly Report,Your invoice of INR 32944.21 is due on 2025-12-24. Please pay to avoid late fees.,low,respond,your invoice of inr 32944.21 is due on 2025-12-24. please pay to avoid late fees.,notify_human,\binvoice\b
