email_id,ai_action,final_action,hitl_status
Notice: Your account will be locked unless verific,respond,respond,WAIT_FOR_HUMAN
"Hello team, please find the attached weekly report",respond,respond,WAIT_FOR_HUMAN
"Hi, don't miss our sale with discounts up to 70% o",ignore,ignore,AUTO_APPROVED
Your order #5498 has been shipped and is expected ,respond,respond,WAIT_FOR_HUMAN
Congratulations! You have been selected as a lucky,ignore,ignore,AUTO_APPROVED
Reminder: The client meeting is scheduled at 13:30,respond,respond,WAIT_FOR_HUMAN
Your order #2545 has been shipped and is expected ,respond,respond,WAIT_FOR_HUMAN
Notice: Your account will be locked unless verific,respond,respond,WAIT_FOR_HUMAN
Security alert: multiple failed login attempts wer,notify,notify,AUTO_APPROVED
"Dear user, we detected a login from a new device. ",notify,notify,AUTO_APPROVED
"Hello team, please find the attached weekly report",respond,respond,WAIT_FOR_HUMAN
"Dear user, we detected a login from a new device. ",notify,notify,AUTO_APPROVED
"Dear user, we detected a login from a new device. ",notify,notify,AUTO_APPROVED
Reminder: The client meeting is scheduled at 10:00,respond,respond,WAIT_FOR_HUMAN
Your invoice of INR 9983.71 is due on 2025-12-29. ,respond,respond,WAIT_FOR_HUMAN
"Hi, don't miss our sale with discounts up to 70% o",ignore,ignore,AUTO_APPROVED
Please complete the mandatory training module befo,notify,notify,AUTO_APPROVED
Notice: Your account will be locked unless verific,respond,respond,WAIT_FOR_HUMAN
Your invoice of INR 37060.93 is due on 2025-12-20.,respond,respond,WAIT_FOR_HUMAN
Your invoice of INR 3679.33 is due on 2025-12-25. ,respond,respond,WAIT_FOR_HUMAN
Notice: Your account will be locked unless verific,respond,respond,WAIT_FOR_HUMAN
Please complete the mandatory training module befo,notify,notify,AUTO_APPROVED
"Hello team, please find the attached weekly report",respond,respond,WAIT_FOR_HUMAN
Reminder: The client meeting is scheduled at 11:30,respond,respond,WAIT_FOR_HUMAN
Your order #5193 has been shipped and is expected ,respond,respond,WAIT_FOR_HUMAN
Congratulations! You have been selected as a lucky,ignore,ignore,AUTO_APPROVED
Congratulations! You have been selected as a lucky,ignore,ignore,AUTO_APPROVED
Please complete the mandatory training module befo,notify,notify,AUTO_APPROVED
"Dear user, we detected a login from a new device. ",notify,notify,AUTO_APPROVED
Security alert: multiple failed login attempts wer,notify,notify,AUTO_APPROVED
"Hi, don't miss our sale with discounts up to 70% o",ignore,ignore,AUTO_APPROVED
Notice: Your account will be locked unless verific,respond,respond,WAIT_FOR_HUMAN
"Dear user, we detected a login from a new device. ",notify,notify,AUTO_APPROVED
Security alert: multiple failed login attempts wer,notify,notify,AUTO_APPROVED
Your order #2832 has been shipped and is expected ,respond,respond,WAIT_FOR_HUMAN
Your order #5649 has been shipped and is expected ,respond,respond,WAIT_FOR_HUMAN
"Dear user, we detected a login from a new device. ",notify,notify,AUTO_APPROVED
Reminder: The client meeting is scheduled at 16:30,respond,respond,WAIT_FOR_HUMAN
Notice: Your account will be locked unless verific,respond,respond,WAIT_FOR_HUMAN
"Hi, don't miss our sale with discounts up to 70% o",ignore,ignore,AUTO_APPROVED
Notice: Your account will be locked unless verific,respond,respond,WAIT_FOR_HUMAN
Security alert: multiple failed login attempts wer,notify,notify,AUTO_APPROVED
Your invoice of INR 18063.84 is due on 2025-12-20.,respond,respond,WAIT_FOR_HUMAN
"Dear user, we detected a login from a new device. ",notify,notify,AUTO_APPROVED
Congratulations! You have been selected as a lucky,ignore,ignore,AUTO_APPROVED
"Hello team, please find the attached weekly report",respond,respond,WAIT_FOR_HUMAN
Your order #8460 has been shipped and is expected ,respond,respond,WAIT_FOR_HUMAN
Your order #9808 has been shipped and is expected ,respond,respond,WAIT_FOR_HUMAN
"Hi, don't miss our sale with discounts up to 70% o",ignore,ignore,AUTO_APPROVED
Reminder: The client meeting is scheduled at 13:30,respond,respond,WAIT_FOR_HUMAN
"Hi, don't miss our sale with discounts up to 70% o",ignore,ignore,AUTO_APPROVED
Your order #4084 has been shipped and is expected ,respond,respond,WAIT_FOR_HUMAN
Please complete the mandatory training module befo,notify,notify,AUTO_APPROVED
Your invoice of INR 7041.91 is due on 2025-12-29. ,respond,respond,WAIT_FOR_HUMAN
Your order #9749 has been shipped and is expected ,respond,respond,WAIT_FOR_HUMAN
Reminder: The client meeting is scheduled at 15:00,respond,respond,WAIT_FOR_HUMAN
Reminder: The client meeting is scheduled at 15:00,respond,respond,WAIT_FOR_HUMAN
Notice: Your account will be locked unless verific,respond,respond,WAIT_FOR_HUMAN
Reminder: The client meeting is scheduled at 15:30,respond,respond,WAIT_FOR_HUMAN
Your order #4920 has been shipped and is expected ,respond,respond,WAIT_FOR_HUMAN
Security alert: multiple failed login attempts wer,notify,notify,AUTO_APPROVED
Security alert: multiple failed login attempts wer,notify,notify,AUTO_APPROVED
"Hello team, please find the attached weekly report",respond,respond,WAIT_FOR_HUMAN
Reminder: The client meeting is scheduled at 10:00,respond,respond,WAIT_FOR_HUMAN
"Dear user, we detected a login from a new device. ",notify,notify,AUTO_APPROVED
Reminder: The client meeting is scheduled at 10:00,respond,respond,WAIT_FOR_HUMAN
Notice: Your account will be locked unless verific,respond,respond,WAIT_FOR_HUMAN
Your invoice of INR 13949.9 is due on 2025-12-22. ,respond,respond,WAIT_FOR_HUMAN
"Dear user, we detected a login from a new device. ",notify,notify,AUTO_APPROVED
Security alert: multiple failed login attempts wer,notify,notify,AUTO_APPROVED
Congratulations! You have been selected as a lucky,ignore,ignore,AUTO_APPROVED
Notice: Your account will be locked unless verific,respond,respond,WAIT_FOR_HUMAN
Reminder: The client meeting is scheduled at 9:30 ,respond,respond,WAIT_FOR_HUMAN
"Dear user, we detected a login from a new device. ",notify,notify,AUTO_APPROVED
"Hi, don't miss our sale with discounts up to 70% o",ignore,ignore,AUTO_APPROVED
"Hi, don't miss our sale with discounts up to 70% o",ignore,ignore,AUTO_APPROVED
Your order #6313 has been shipped and is expected ,respond,respond,WAIT_FOR_HUMAN
Congratulations! You have been selected as a lucky,ignore,ignore,AUTO_APPROVED
Your invoice of INR 3896.2 is due on 2026-01-05. P,respond,respond,WAIT_FOR_HUMAN
Congratulations! You have been selected as a lucky,ignore,ignore,AUTO_APPROVED
"Dear user, we detected a login from a new device. ",notify,notify,AUTO_APPROVED
Notice: Your account will be locked unless verific,respond,respond,WAIT_FOR_HUMAN
Your order #2869 has been shipped and is expected ,respond,respond,WAIT_FOR_HUMAN
Reminder: The client meeting is scheduled at 14:30,respond,respond,WAIT_FOR_HUMAN
"Hello team, please find the attached weekly report",respond,respond,WAIT_FOR_HUMAN
Congratulations! You have been selected as a lucky,ignore,ignore,AUTO_APPROVED
Notice: Your account will be locked unless verific,respond,respond,WAIT_FOR_HUMAN
Reminder: The client meeting is scheduled at 10:30,respond,respond,WAIT_FOR_HUMAN
Congratulations! You have been selected as a lucky,ignore,ignore,AUTO_APPROVED
Security alert: multiple failed login attempts wer,notify,notify,AUTO_APPROVED
Congratulations! You have been selected as a lucky,ignore,ignore,AUTO_APPROVED
Your order #4919 has been shipped and is expected ,respond,respond,WAIT_FOR_HUMAN
"Hi, don't miss our sale with discounts up to 70% o",ignore,ignore,AUTO_APPROVED
Congratulations! You have been selected as a lucky,ignore,ignore,AUTO_APPROVED
Security alert: multiple failed login attempts wer,notify,notify,AUTO_APPROVED
"Hello team, please find the attached weekly report",respond,respond,WAIT_FOR_HUMAN
Your order #1387 has been shipped and is expected ,respond,respond,WAIT_FOR_HUMAN
Security alert: multiple failed login attempts wer,notify,notify,AUTO_APPROVED
Notice: Your account will be locked unless verific,respond,respond,WAIT_FOR_HUMAN
Notice: Your account will be locked unless verific,respond,respond,WAIT_FOR_HUMAN
"Hello team, please find the attached weekly report",respond,respond,WAIT_FOR_HUMAN
Security alert: multiple failed login attempts wer,notify,notify,AUTO_APPROVED
Notice: Your account will be locked unless verific,respond,respond,WAIT_FOR_HUMAN
Reminder: The client meeting is scheduled at 9:30 ,respond,respond,WAIT_FOR_HUMAN
Please complete the mandatory training module befo,notify,notify,AUTO_APPROVED
Your invoice of INR 35527.27 is due on 2025-12-26.,respond,respond,WAIT_FOR_HUMAN
Congratulations! You have been selected as a lucky,ignore,ignore,AUTO_APPROVED
"Hi, don't miss our sale with discounts up to 70% o",ignore,ignore,AUTO_APPROVED
Notice: Your account will be locked unless verific,respond,respond,WAIT_FOR_HUMAN
Your order #6277 has been shipped and is expected ,respond,respond,WAIT_FOR_HUMAN
Please complete the mandatory training module befo,notify,notify,AUTO_APPROVED
Reminder: The client meeting is scheduled at 16:00,respond,respond,WAIT_FOR_HUMAN
