email_text,expected_action,expected_tone,clean_text,predicted_action,predicted_tone,action_correct,tone_correct
"Hi Theertha, this is a reminder about our team meeting scheduled for tomorrow at 10 AM.",notify,neutral,hi theertha this is a reminder about our team meeting scheduled for tomorrow at am,notify,neutral,True,True
Reminder: Project review meeting today at 4 PM. Please be on time.,notify,urgent,reminder project review meeting today at pm please be on time,notify,polite,True,False
This is a gentle reminder for our scheduled call on Friday at 2 PM.,notify,polite,this is a gentle reminder for our scheduled call on friday at pm,notify,neutral,True,False
Our weekly sync-up meeting has been scheduled for Monday at 11 AM.,notify,neutral,our weekly syncup meeting has been scheduled for monday at am,notify,neutral,True,True
Please remember to attend the client meeting tomorrow morning.,notify,urgent,please remember to attend the client meeting tomorrow morning,notify,polite,True,False
Just a reminder about the department meeting this afternoon.,notify,neutral,just a reminder about the department meeting this afternoon,notify,neutral,True,True
Reminder to join the Zoom meeting at 3 PM today.,notify,urgent,reminder to join the zoom meeting at pm today,notify,neutral,True,False
This email is to remind you of the academic review meeting tomorrow.,notify,polite,this email is to remind you of the academic review meeting tomorrow,notify,neutral,True,False
Kind reminder about the mentor discussion scheduled this evening.,notify,polite,kind reminder about the mentor discussion scheduled this evening,notify,neutral,True,False
Our meeting has been rescheduled to Thursday at 1 PM.,notify,neutral,our meeting has been rescheduled to thursday at pm,notify,neutral,True,True
Reminder: Orientation meeting for interns tomorrow.,notify,neutral,reminder orientation meeting for interns tomorrow,notify,neutral,True,True
This is to remind you about the presentation review meeting.,notify,urgent,this is to remind you about the presentation review meeting,notify,neutral,True,False
Please attend the planning meeting scheduled for next week.,notify,neutral,please attend the planning meeting scheduled for next week,notify,polite,True,False
Reminder for today’s stand-up meeting at 9:30 AM.,notify,urgent,reminder for todays standup meeting at am,notify,neutral,True,False
Team meeting reminder for Friday afternoon.,notify,neutral,team meeting reminder for friday afternoon,notify,neutral,True,True
Gentle reminder regarding tomorrow’s faculty meeting.,notify,polite,gentle reminder regarding tomorrows faculty meeting,notify,neutral,True,False
Reminder to join the online session at 6 PM.,notify,neutral,reminder to join the online session at pm,notify,neutral,True,True
Meeting reminder: Internship briefing tomorrow morning.,notify,neutral,meeting reminder internship briefing tomorrow morning,notify,neutral,True,True
This is a reminder for the evaluation meeting scheduled today.,notify,urgent,this is a reminder for the evaluation meeting scheduled today,notify,neutral,True,False
Please do not forget the project meeting tomorrow.,notify,urgent,please do not forget the project meeting tomorrow,notify,polite,True,False
Please find attached the invoice for the services provided last month.,respond,polite,please find attached the invoice for the services provided last month,respond,polite,True,True
This is a reminder to complete the pending payment by Friday.,respond,urgent,this is a reminder to complete the pending payment by friday,respond,neutral,True,False
Kindly process the invoice shared earlier.,respond,polite,kindly process the invoice shared earlier,respond,polite,True,True
Your payment is overdue. Please clear the balance immediately.,respond,urgent,your payment is overdue please clear the balance immediately,respond,urgent,True,True
Attached is the invoice for your recent purchase.,respond,neutral,attached is the invoice for your recent purchase,respond,neutral,True,True
Please confirm once the payment has been processed.,respond,polite,please confirm once the payment has been processed,respond,polite,True,True
Final reminder regarding the outstanding invoice.,respond,urgent,final reminder regarding the outstanding invoice,respond,urgent,True,True
Payment confirmation required for the attached bill.,respond,neutral,payment confirmation required for the attached bill,respond,neutral,True,True
Your subscription payment is due tomorrow.,respond,urgent,your subscription payment is due tomorrow,respond,neutral,True,False
Invoice for internship registration fees attached.,respond,polite,invoice for internship registration fees attached,respond,neutral,True,False
Please clear the pending amount at the earliest.,respond,urgent,please clear the pending amount at the earliest,notify,polite,False,False
This email contains the invoice for last week’s services.,respond,neutral,this email contains the invoice for last weeks services,respond,neutral,True,True
Payment request for event registration.,respond,polite,payment request for event registration,respond,neutral,True,False
Kindly acknowledge receipt of the invoice.,respond,polite,kindly acknowledge receipt of the invoice,respond,polite,True,True
Outstanding payment notice for your account.,respond,urgent,outstanding payment notice for your account,respond,neutral,True,False
Invoice shared for your reference.,respond,neutral,invoice shared for your reference,respond,neutral,True,True
Please process the attached payment request.,respond,polite,please process the attached payment request,respond,polite,True,True
Immediate action required: unpaid invoice.,respond,urgent,immediate action required unpaid invoice,respond,neutral,True,False
Your bill is now available for payment.,respond,neutral,your bill is now available for payment,respond,neutral,True,True
Reminder to settle the pending payment.,respond,urgent,reminder to settle the pending payment,respond,neutral,True,False
