email_text,expected_action,expected_tone,clean_text,predicted_action_test,predicted_action,predicted_tone,action_correct,tone_correct
Reminder: Client meeting scheduled for Jan 10 at 11 AM. Please confirm your availability.,respond,polite,reminder client meeting scheduled for jan 10 at 11 am please confirm your availability,respond,respond,polite,True,True
Your invoice INV-1023 is due on Jan 5. Kindly make the payment to avoid late fees.,respond,urgent,your invoice inv1023 is due on jan 5 kindly make the payment to avoid late fees,respond,respond,polite,True,False
We are pleased to inform you that your internship application has been shortlisted.,respond,polite,we are pleased to inform you that your internship application has been shortlisted,respond,respond,polite,True,True
Happy New Year! Wishing you success and good health.,ignore,neutral,happy new year wishing you success and good health,ignore,ignore,neutral,True,True
Please find attached the minutes of yesterday’s meeting for your reference.,ignore,neutral,please find attached the minutes of yesterdays meeting for your reference,respond,respond,polite,False,False
Reminder: Submit your assignment by tonight 11:59 PM.,notify,urgent,reminder submit your assignment by tonight 1159 pm,respond,respond,neutral,False,False
Can you share the updated project timeline by EOD today?,respond,polite,can you share the updated project timeline by eod today,respond,respond,neutral,True,False
Your payment has been successfully received. Thank you.,ignore,neutral,your payment has been successfully received thank you,respond,respond,polite,False,False
We noticed unusual login activity on your account.,notify,urgent,we noticed unusual login activity on your account,notify_human,notify_human,neutral,False,False
Invitation to attend the alumni networking event this Saturday.,respond,polite,invitation to attend the alumni networking event this saturday,respond,respond,neutral,True,False
The office will remain closed on Monday due to a public holiday.,notify,neutral,the office will remain closed on monday due to a public holiday,respond,respond,neutral,False,True
Please review the attached contract and share your feedback.,respond,polite,please review the attached contract and share your feedback,respond,respond,polite,True,True
Your internship completion certificate is now available for download.,notify,neutral,your internship completion certificate is now available for download,respond,respond,neutral,False,True
Reminder: Library books are due for return tomorrow.,notify,urgent,reminder library books are due for return tomorrow,respond,respond,neutral,False,False
Thank you for attending the workshop. We value your participation.,ignore,neutral,thank you for attending the workshop we value your participation,respond,respond,polite,False,False
