email_id,ai_action,final_action,hitl_status
Your order #8460 has been shipped and is expected ,respond,respond,WAIT_FOR_HUMAN
"Hi, don't miss our sale with discounts up to 70% o",respond,respond,WAIT_FOR_HUMAN
Your order #6277 has been shipped and is expected ,respond,respond,WAIT_FOR_HUMAN
Your order #5193 has been shipped and is expected ,respond,respond,WAIT_FOR_HUMAN
Your order #4920 has been shipped and is expected ,respond,respond,WAIT_FOR_HUMAN
Reminder: The client meeting is scheduled at 17:00,respond,respond,WAIT_FOR_HUMAN
Reminder: The client meeting is scheduled at 10:00,respond,respond,WAIT_FOR_HUMAN
Your order #4637 has been shipped and is expected ,respond,respond,WAIT_FOR_HUMAN
Your order #2545 has been shipped and is expected ,respond,respond,WAIT_FOR_HUMAN
Please complete the mandatory training module befo,respond,respond,WAIT_FOR_HUMAN
