email_text,expected_action,expected_tone,predicted_action,predicted_tone,action_correct,tone_correct
Please attend the project status meeting tomorrow at 10 AM,respond,polite,respond,polite,True,True
Your internship completion certificate is ready for download,respond,polite,ignore,neutral,False,False
Kindly submit your assignment by end of day today,respond,neutral,respond,polite,True,False
This is a reminder to clear the pending invoice by Friday,respond,urgent,respond,polite,True,False
Thank you for applying. We will get back to you shortly,respond,polite,ignore,neutral,False,False
Huge discount sale on electronics this weekend,ignore,neutral,ignore,neutral,True,True
You have been unsubscribed from promotional emails,ignore,neutral,ignore,neutral,True,True
Limited time offer! Buy one get one free,ignore,neutral,ignore,neutral,True,True
Congratulations! You have won a shopping voucher,ignore,neutral,ignore,neutral,True,True
Security alert: suspicious login attempt detected,notify,urgent,notify,urgent,True,True
Please confirm your availability for the client discussion meeting tomorrow,respond,polite,respond,polite,True,True
Your semester fee payment has been successfully received,respond,neutral,respond,polite,True,False
Reminder to submit your project report before the deadline,respond,urgent,respond,polite,True,False
The internship orientation session will be held on Monday,respond,polite,ignore,neutral,False,False
Kindly review the attached document and share your feedback,respond,polite,ignore,neutral,False,False
Your library book return date has been extended,respond,neutral,ignore,neutral,False,True
Please update your contact details in the student portal,respond,neutral,ignore,neutral,False,True
This is a final reminder to complete your course registration,respond,urgent,ignore,neutral,False,False
Your request for leave has been approved,respond,polite,ignore,neutral,False,False
The exam schedule for next semester has been released,respond,neutral,ignore,neutral,False,True
Subscribe now to get daily tech news updates,ignore,neutral,ignore,neutral,True,True
Exclusive festive sale starts today,ignore,neutral,ignore,neutral,True,True
You are receiving this email because you subscribed to our newsletter,ignore,neutral,ignore,neutral,True,True
Check out the latest trends in fashion this season,ignore,neutral,ignore,neutral,True,True
This promotional email is intended for marketing purposes only,ignore,neutral,ignore,neutral,True,True
Congratulations you have been selected for a lucky draw,ignore,neutral,ignore,neutral,True,True
Special discount offer for premium membership,ignore,neutral,ignore,neutral,True,True
Your weekly newsletter is here,ignore,neutral,ignore,neutral,True,True
Unsubscribe from future promotional messages here,ignore,neutral,ignore,neutral,True,True
Urgent notice: multiple failed login attempts detected on your account,notify,urgent,ignore,neutral,False,False
Please join the virtual meeting scheduled for this afternoon,respond,polite,respond,polite,True,True
Your project submission has been received successfully,respond,neutral,ignore,neutral,False,True
Kindly acknowledge receipt of this email,respond,polite,ignore,neutral,False,False
This is a reminder to complete your performance review form,respond,neutral,ignore,neutral,False,True
Your application status has been updated,respond,polite,ignore,neutral,False,False
Please verify your email address to continue using our services,respond,urgent,ignore,neutral,False,False
The results of the internal assessment have been published,respond,neutral,ignore,neutral,False,True
Your internship mentor has shared feedback on your progress,respond,polite,ignore,neutral,False,False
Reminder to attend the mandatory training session,respond,urgent,ignore,neutral,False,False
Your request for transcript copies is being processed,respond,neutral,ignore,neutral,False,True
Latest job openings you may be interested in,ignore,neutral,ignore,neutral,True,True
Don’t miss out on our weekend sale,ignore,neutral,ignore,neutral,True,True
This email contains advertisements and promotions,ignore,neutral,ignore,neutral,True,True
Get early access to exclusive deals,ignore,neutral,ignore,neutral,True,True
Follow our page for more updates and offers,ignore,neutral,ignore,neutral,True,True
You are invited to participate in a customer survey,ignore,neutral,ignore,neutral,True,True
Seasonal clearance sale now live,ignore,neutral,ignore,neutral,True,True
New arrivals just launched on our platform,ignore,neutral,ignore,neutral,True,True
This message was sent as part of a marketing campaign,ignore,neutral,ignore,neutral,True,True
Account alert: unusual activity detected,notify,urgent,notify,urgent,True,True
System warning: password change required immediately,notify,urgent,notify,urgent,True,True
Payment failure notification for your recent transaction,notify,urgent,respond,polite,False,False
Your account has been temporarily locked for security reasons,notify,urgent,notify,urgent,True,True
Policy violation detected in your recent activity,notify,urgent,ignore,neutral,False,False
Unauthorized access attempt blocked successfully,notify,urgent,notify,urgent,True,True
Security update required to protect your account,notify,urgent,notify,urgent,True,True
Immediate action required to secure your profile,notify,urgent,ignore,neutral,False,False
Multiple incorrect password attempts noticed,notify,urgent,notify,urgent,True,True
Critical alert regarding your account safety,notify,urgent,notify,urgent,True,True
Please review the security notice attached,notify,urgent,notify,urgent,True,True
Please confirm your attendance for the alumni meet this weekend,respond,polite,respond,polite,True,True
Your request for course withdrawal has been received,respond,neutral,ignore,neutral,False,True
