email,ai_action,final_action,hitl_status
Notice: Your account will be locked unless verific,action,action,AUTO_APPROVED
Congratulations! You have been selected as a lucky,action,action,AUTO_APPROVED
"Dear user, we detected a login from a new device. ",action,action,AUTO_APPROVED
Please complete the mandatory training module befo,action,action,AUTO_APPROVED
Security alert: multiple failed login attempts wer,action,action,AUTO_APPROVED
Your order #9254 has been shipped and is expected ,action,action,AUTO_APPROVED
Your order #3828 has been shipped and is expected ,action,action,AUTO_APPROVED
Security alert: multiple failed login attempts wer,action,action,AUTO_APPROVED
Security alert: multiple failed login attempts wer,action,action,AUTO_APPROVED
"Dear user, we detected a login from a new device. ",action,action,AUTO_APPROVED
Congratulations! You have been selected as a lucky,action,action,AUTO_APPROVED
"Hi, don't miss our sale with discounts up to 70% o",action,action,AUTO_APPROVED
Please complete the mandatory training module befo,action,action,AUTO_APPROVED
Congratulations! You have been selected as a lucky,action,action,AUTO_APPROVED
"Hi, don't miss our sale with discounts up to 70% o",action,action,AUTO_APPROVED
Your order #4522 has been shipped and is expected ,action,action,AUTO_APPROVED
Your invoice of INR 34531.11 is due on 2026-01-08.,action,action,AUTO_APPROVED
Security alert: multiple failed login attempts wer,action,action,AUTO_APPROVED
Your order #9808 has been shipped and is expected ,action,action,AUTO_APPROVED
Congratulations! You have been selected as a lucky,action,action,AUTO_APPROVED
Notice: Your account will be locked unless verific,action,action,AUTO_APPROVED
"Hi, don't miss our sale with discounts up to 70% o",action,action,AUTO_APPROVED
"Hello team, please find the attached weekly report",action,action,AUTO_APPROVED
"Hi, don't miss our sale with discounts up to 70% o",action,action,AUTO_APPROVED
Security alert: multiple failed login attempts wer,action,action,AUTO_APPROVED
Notice: Your account will be locked unless verific,action,action,AUTO_APPROVED
"Hi, don't miss our sale with discounts up to 70% o",action,action,AUTO_APPROVED
Congratulations! You have been selected as a lucky,action,action,AUTO_APPROVED
"Hello team, please find the attached weekly report",action,action,AUTO_APPROVED
Your order #9129 has been shipped and is expected ,action,action,AUTO_APPROVED
"Hello team, please find the attached weekly report",action,action,AUTO_APPROVED
Security alert: multiple failed login attempts wer,action,action,AUTO_APPROVED
"Hi, don't miss our sale with discounts up to 70% o",action,action,AUTO_APPROVED
Congratulations! You have been selected as a lucky,action,action,AUTO_APPROVED
Congratulations! You have been selected as a lucky,action,action,AUTO_APPROVED
Notice: Your account will be locked unless verific,action,action,AUTO_APPROVED
Please complete the mandatory training module befo,action,action,AUTO_APPROVED
Congratulations! You have been selected as a lucky,action,action,AUTO_APPROVED
Congratulations! You have been selected as a lucky,action,action,AUTO_APPROVED
Your order #6313 has been shipped and is expected ,action,action,AUTO_APPROVED
Your invoice of INR 37060.93 is due on 2025-12-20.,action,action,AUTO_APPROVED
Please complete the mandatory training module befo,action,action,AUTO_APPROVED
Congratulations! You have been selected as a lucky,action,action,AUTO_APPROVED
"Hello team, please find the attached weekly report",action,action,AUTO_APPROVED
Reminder: The client meeting is scheduled at 11:30,action,action,AUTO_APPROVED
Congratulations! You have been selected as a lucky,action,action,AUTO_APPROVED
Security alert: multiple failed login attempts wer,action,action,AUTO_APPROVED
Reminder: The client meeting is scheduled at 12:30,action,action,AUTO_APPROVED
"Hi, don't miss our sale with discounts up to 70% o",action,action,AUTO_APPROVED
Notice: Your account will be locked unless verific,action,action,AUTO_APPROVED
Your order #5649 has been shipped and is expected ,action,action,AUTO_APPROVED
